Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,286446,391389665,.07318691
4DS MEMORY LIMITED ORDINARY,4DS,843743,1763434918,.04784656
5EADVANCED CDI 10:1,5EA,448903,333565840,.13457703
29METALSLIMITED ORDINARY,29M,23647997,701862508,3.36932045
88 ENERGY LTD ORDINARY,88E,6580151,28892671952,.02277446
ABACUS GROUP FPO/UNITS STAPLED,ABG,4505228,893657633,.50413356
ABACUS STORAGE KING FPO/UNITS STAPLED,ASK,2110837,1314102962,.1606295
ACCENT GROUP LTD ORDINARY,AX1,11328022,563053196,2.01189196
ACROW LIMITED ORDINARY,ACF,5215,294630404,.00177001
ACTINOGEN MEDICAL ORDINARY,ACW,84,2526921261,.00000332
ACUSENSUS LIMITED. ORDINARY,ACE,79125,126411097,.0625934
ADAIRS LIMITED ORDINARY,ADH,1345454,174682776,.77022705
ADBRI LIMITED ORDINARY,ABC,186764,654243396,.02854656
ADORE BEAUTY ORDINARY,ABY,44854,93957928,.04773839
ADRIATIC METALS CDI 1:1,ADT,1773569,277761722,.63852175
ADVANCED HEALTH ORDINARY,AHI,20052,245653382,.00816272
AERIS RESOURCES LTD ORDINARY,AIS,7106249,967525540,.73447663
AGC LTD ORDINARY,AGC,490785,222222222,.22085325
AGL ENERGY LIMITED. ORDINARY,AGL,23067484,672747233,3.42884859
AIC MINES LTD ORDINARY,A1M,455599,570878324,.07980667
AINSWORTH GAME TECH. ORDINARY,AGI,208334,336793929,.061858
AIR NEW ZEALAND ORD FOR. EXEMPT NZX,AIZ,8052146,3368464315,.23904501
AIRTASKER LIMITED ORDINARY,ART,7976,452441423,.00176288
ALCIDION GROUP LTD ORDINARY,ALC,303830,1342473221,.02263211
ALICE QUEEN LTD ORDINARY,AQX,8359,690990068,.00120971
ALKANE RESOURCES LTD ORDINARY,ALK,2714924,603490487,.44987022
ALLIANCE AVIATION ORDINARY,AQZ,8573,160734697,.00533363
ALLIGATOR ENERGY ORDINARY,AGE,28091362,3868827907,.7260949
ALPHA HPA LTD ORDINARY,A4N,21233579,1004910201,2.11298273
ALS LTD ORDINARY,ALQ,6101313,484167684,1.26016527
ALTECH BATT LTD ORDINARY,ATC,2015045,1710571924,.11779949
ALTIUM LIMITED ORDINARY,ALU,192570,131926838,.14596727
ALUMINA LIMITED ORDINARY,AWC,11782211,2901681417,.40604771
AMA GROUP LIMITED ORDINARY,AMA,26515903,1806403551,1.46788368
AMAERO INTERNATIONAL ORDINARY,3DA,667777,542206219,.12315923
AMCOR PLC CDI1:1FOREXEMPT NYSE,AMC,11744867,619335948,1.89636449
AMERICAN RARE EARTHS ORDINARY,ARR,652249,493423299,.13218853
AMERICANWESTMETALS ORDINARY,AW1,6454,517674469,.00124673
AMP LIMITED ORDINARY,AMP,38381163,2666442828,1.43941444
AMPOL LIMITED ORDINARY,ALD,2320069,238302099,.97358312
ANDROMEDA METALS LTD ORDINARY,ADN,6055700,3110270932,.19470008
ANSELL LIMITED ORDINARY,ANN,2820208,145943984,1.93239072
ANSON RESOURCES LTD ORDINARY,ASN,16940210,1290528206,1.31265709
ANTEOTECH LTD ORDINARY,ADO,12936963,2468287352,.5241271
ANTIPA MINERALS LTD ORDINARY,AZY,3287500,4139549428,.07941686
ANZ GROUP HOLDINGS ORDINARY,ANZ,15823173,3007510678,.52612192
APA GROUP UNITS STAPLED,APA,20282452,1283352928,1.58042667
APM HUMAN SERVICES ORDINARY,APM,9444946,917181946,1.02977888
APPEN LIMITED ORDINARY,APX,6988056,222426351,3.14173926
ARAFURA RARE EARTHS ORDINARY,ARU,163227226,2310302192,7.06518942
ARB CORPORATION. ORDINARY,ARB,2278617,82332195,2.76758928
ARCADIUM LITHIUM PLC CDI1:1FOREXEMPT NYSE,LTM,7109218,388181154,1.83141761
ARCHER MATERIALS ORDINARY,AXE,122255,254847013,.04797192
ARDEA RESOURCES LTD ORDINARY,ARL,17587,199562915,.00881276
ARENA REIT. FPO/UNITS STAPLED,ARF,2522800,356269597,.70811543
ARGENT BIOPHARMA LTD ORDINARY,RGT,16,45280202,.00003534
ARGO INVESTMENTS ORDINARY,ARG,85158,761242265,.01118671
ARGOSY MINERALS LTD ORDINARY,AGY,32616400,1455920934,2.24025902
ARISTOCRAT LEISURE ORDINARY,ALL,1537430,633527451,.24267772
ARIZONA LITHIUM LTD ORDINARY,AZL,3606897,4473814528,.08062241
ARN MEDIA LIMITED ORDINARY,A1N,3524040,313050373,1.12571021
AROA BIOSURGERY ORDINARY,ARX,634290,344207834,.18427529
ARTICORE GROUP LTD ORDINARY,ATG,1333139,282783288,.47143486
ASARA RESOURCES LTD ORDINARY,AS1,11239,882175350,.00127401
ASKARIMETALSLIMITED ORDINARY,AS2,1510,97690891,.00154569
ASTON MINERALS LTD ORDINARY,ASO,739810,1295064269,.05712535
ASX LIMITED ORDINARY,ASX,4414080,193887876,2.27661476
ATLAS ARTERIA FPOSTUSPROHEXCLQUP,ALX,15861680,1450833707,1.09328036
ATOMOS ORDINARY,AMS,4907585,1213662308,.40436166
AU CLINICAL LABS ORDINARY,ACL,17229694,201834015,8.53656605
AUB GROUP LTD ORDINARY,AUB,878197,115678348,.75917146
AUCKLAND INTERNATION ORD FOR.EXEMPT NZX,AIA,5469205,1477299049,.37021651
AUDINATEGROUPLTD ORDINARY,AD8,1606183,83108836,1.93262603
AURA ENERGY ORDINARY,AEE,408285,716679666,.05696897
AURELIA METALS LTD ORDINARY,AMI,4160806,1689767404,.24623543
AURIZON HOLDINGS LTD ORDINARY,AZJ,45776558,1840703982,2.48690493
AUSGOV TREASURY BOND TB 0.25% 11-25 6M,GSBU25,205540,392000000,.05243367
AUSGOV TREASURY BOND TB 0.50% 09-26 6M,GSBQ26,4820,394000000,.00122335
AUSGOV TREASURY BOND TB 1.00% 12-30 6M,GSBW30,10890,395000000,.00275696
AUSGOV TREASURY BOND TB 1.50% 06-31 6M,GSBK31,96110,387000000,.02483463
AUSGOV TREASURY BOND TB 2.25% 05-28 6M,GSBI28,519700,325000000,.15990769
AUSGOV TREASURY BOND TB 2.50% 05-30 6M,GSBI30,26490,379000000,.00698945
AUSGOV TREASURY BOND TB 2.75% 11-27 6M,GSBU27,50180,322000000,.01558385
AUSGOV TREASURY BOND TB 2.75% 11-29 6M,GSBU29,514710,362000000,.14218508
AUSGOV TREASURY BOND TB 3.00% 03-47 6M,GSBE47,12730,142000000,.00896479
AUSGOV TREASURY BOND TB 3.00% 11-33 6M,GSBU33,429840,241000000,.17835685
AUSGOV TREASURY BOND TB 3.25% 06-39 6M,GSBK39,53650,103000000,.05208738
AUSGOV TREASURY BOND TB 3.75% 05-34 6M,GSBI34,6010,212000000,.00283491
AUSGOV TREASURY BOND TB 4.75% 06-54 6M,GSBK54,76800,83000000,.09253012
AUSSIE BROADBAND ORDINARY,ABB,7818158,295518061,2.64557705
AUSSTRATMATERIALS ORDINARY,ASM,3173851,181133558,1.7522159
AUST FINANCE GRP ORDINARY,AFG,4282944,270769045,1.58177018
AUST VANADIUM LTD ORDINARY,AVL,1739907,8610503149,.0202068
AUSTAL LIMITED ORDINARY,ASB,1072856,362441875,.29600774
AUSTIN ENGINEERING ORDINARY,ANG,4990365,586555743,.85079126
AUSTRALIAN AGRICULT. ORDINARY,AAC,1544005,602766747,.25615298
AUSTRALIAN ETHICAL ORDINARY,AEF,878705,112782052,.77911776
AUSTRALIAN FOUNDAT. ORDINARY,AFI,20,1251570209,.0000016
AUSTRALIAN MINES LTD ORDINARY,AUZ,386826,1398512124,.02765982
AUSTRALIAN UNITY OFF ORDINARY,AOF,111267,164383437,.06768748
AUSTRARE ORDINARY,AR3,193898,155921890,.12435586
AUTOSPORTS GRP LTD. ORDINARY,ASG,37797,201000000,.01880448
AVITA MEDICAL CDI 5:1,AVH,199517,62183320,.32085292
AVZ MINERALS LTD ORDINARY,AVZ,37143667,3528729748,1.0526073
BABY BUNTING GRP LTD ORDINARY,BBN,2833755,134906489,2.10053276
BANK OF QUEENSLAND. ORDINARY,BOQ,40705626,661469455,6.15381794
BANNERMAN ENERGY LTD ORDINARY,BMN,220606,152840770,.14433714
BAPCOR LIMITED ORDINARY,BAP,20860479,339412500,6.14605502
BASE RES LIMITED ORDINARY,BSE,6080497,1178011850,.51616603
BCI MINERALS LTD ORDINARY,BCI,54473,2884420990,.00188852
BEACH ENERGY LIMITED ORDINARY,BPT,70953603,2281333656,3.11018087
BEACON LIGHTING GRP ORDINARY,BLX,88820,226836751,.03915591
BEGA CHEESE LTD ORDINARY,BGA,3531724,304775519,1.15879517
BELLEVUE GOLD LTD ORDINARY,BGL,31913167,1177341851,2.71061179
BENDIGO AND ADELAIDE ORDINARY,BEN,15216881,567956520,2.67923344
BERKELEY ENERGIA LTD ORDINARY,BKY,700000,445796715,.15702224
BETASHARES ASX RES ETF UNITS,QRE,7980,29458330,.02708911
BETMAKERS TECH GROUP ORDINARY,BET,32552105,965114394,3.3728753
BHP GROUP LIMITED ORDINARY,BHP,18025810,5071530817,.35543134
BIGTINCAN HLDGS LTD ORDINARY,BTH,3019594,616253090,.48999251
BLACK CAT SYNDICATE ORDINARY,BC8,1919281,308553445,.62202546
BLACKSTONE LTD ORDINARY,BSX,1033886,525321120,.19681029
