Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,60694,410531163,.01478426
4DS MEMORY LIMITED ORDINARY,4DS,1064968,1763434918,.06039168
5EADVANCED CDI 10:1,5EA,69690,332085310,.02098557
29METALSLIMITED ORDINARY,29M,31217654,701862508,4.4478304
88 ENERGY LTD ORDINARY,88E,6580151,28933811952,.02274208
360 CAPITAL GRP FPO/UNITS STAPLED,TGP,9137,228837228,.00399279
ABACUS GROUP FPO/UNITS STAPLED,ABG,2384599,893657633,.26683586
ABACUS STORAGE KING FPO/UNITS STAPLED,ASK,354312,1314102962,.02696227
ACCENT GROUP LTD ORDINARY,AX1,28382375,565998979,5.01456293
ACROW LIMITED ORDINARY,ACF,10004,301396067,.00331922
ACTINOGEN MEDICAL ORDINARY,ACW,186,2711778406,.00000686
ADAIRS LIMITED ORDINARY,ADH,2254896,174682776,1.29085194
ADORE BEAUTY ORDINARY,ABY,342453,93957928,.36447483
ADRIATIC METALS CDI 1:1,ADT,19404394,280143969,6.92657924
ADVANCED HEALTH ORDINARY,AHI,20052,247099678,.00811494
AERIS RESOURCES LTD ORDINARY,AIS,14488153,967525540,1.49744398
AGL ENERGY LIMITED. ORDINARY,AGL,20655649,672747233,3.07034321
AINSWORTH GAME TECH. ORDINARY,AGI,213265,336793929,.0633221
AIR NEW ZEALAND ORD FOR. EXEMPT NZX,AIZ,3809214,3368464315,.11308459
AIRTASKER LIMITED ORDINARY,ART,15716,452940738,.00346977
ALCOA CORPORATION CDI 1:1 FOR. EXEMPT,AAI,620235,78403132,.79108447
ALKANE RESOURCES LTD ORDINARY,ALK,7801050,603490487,1.29265501
ALLIANCE AVIATION ORDINARY,AQZ,3027,160734697,.00188323
ALLIGATOR ENERGY ORDINARY,AGE,17592061,3869787820,.45460014
ALPHA HPA LTD ORDINARY,A4N,23595471,1134580693,2.07966442
ALS LTD ORDINARY,ALQ,5846945,484572851,1.20661836
ALTECH BATT LTD ORDINARY,ATC,915396,1720696924,.05319914
ALTERITY THERAP LTD ORDINARY,ATH,1628842,5320336118,.0306154
AMA GROUP LIMITED ORDINARY,AMA,24171365,4782595517,.50540266
AMAERO INTERNATIONAL ORDINARY,3DA,3474451,543310415,.63949648
AMCOR PLC CDI1:1FOREXEMPT NYSE,AMC,9140197,606956172,1.50590725
AMERICAN RARE EARTHS ORDINARY,ARR,489124,494423299,.09892819
AMERICANWESTMETALS ORDINARY,AW1,194006,518186969,.03743938
AMOTIV ORDINARY,AOV,2539067,140894696,1.80210261
AMP LIMITED ORDINARY,AMP,43337104,2580146242,1.67963751
AMPOL LIMITED ORDINARY,ALD,4536161,238302099,1.9035338
ANDROMEDA METALS LTD ORDINARY,ADN,110412,3393604276,.00325353
ANSELL LIMITED ORDINARY,ANN,2767124,145943984,1.89601786
ANSON RESOURCES LTD ORDINARY,ASN,7341087,1292128206,.56813921
ANTEOTECH LTD ORDINARY,ADO,420,2468639552,.00001701
ANTERIS TECHNOLOGIES ORDINARY,AVR,902,21138316,.00426713
ANTIPA MINERALS LTD ORDINARY,AZY,809178,4768699428,.01696853
ANZ GROUP HOLDINGS ORDINARY,ANZ,19036643,2990225230,.63662907
APA GROUP UNITS STAPLED,APA,31699887,1283352928,2.47008335
APM HUMAN SERVICES ORDINARY,APM,6020616,917181946,.65642548
APPEN LIMITED ORDINARY,APX,8017267,223001643,3.59516051
ARAFURA RARE EARTHS ORDINARY,ARU,107966954,2399034192,4.50043415
ARB CORPORATION. ORDINARY,ARB,2631674,82332195,3.19640938
ARCADIUM LITHIUM PLC CDI1:1FOREXEMPT NYSE,LTM,9213775,349546393,2.63592335
ARCHER MATERIALS ORDINARY,AXE,75977,254847013,.02981279
ARENA REIT. FPO/UNITS STAPLED,ARF,896446,395444628,.22669318
ARGOSY MINERALS LTD ORDINARY,AGY,10802659,1455920934,.74198116
ARISTOCRAT LEISURE ORDINARY,ALL,4405809,630432054,.69885549
ARIZONA LITHIUM LTD ORDINARY,AZL,3201706,4473814528,.07156546
ARN MEDIA LIMITED ORDINARY,A1N,3229970,313050373,1.03177325
AROA BIOSURGERY ORDINARY,ARX,621136,344900256,.18009149
ARTICORE GROUP LTD ORDINARY,ATG,591199,281972143,.20966575
ASARA RESOURCES LTD ORDINARY,AS1,11239,882175350,.00127401
ASKARIMETALSLIMITED ORDINARY,AS2,1510,98070146,.00153971
ASPEN GROUP FPO/UNITS STAPLED,APZ,13486,200210988,.00673589
ASTON MINERALS LTD ORDINARY,ASO,507128,1295064269,.03915852
ASX LIMITED ORDINARY,ASX,4824347,193887876,2.48821489
ATLAS ARTERIA FPOSTUSPROHEXCLQUP,ALX,15771775,1450833707,1.08708358
ATOMOS ORDINARY,AMS,1930766,1213662308,.15908593
AU CLINICAL LABS ORDINARY,ACL,14970519,201834015,7.41724283
AUB GROUP LTD ORDINARY,AUB,2417790,116587434,2.07379982
AUCKLAND INTERNATION ORD FOR.EXEMPT NZX,AIA,10765948,1480233741,.72731405
AUDINATEGROUPLTD ORDINARY,AD8,3348982,83342014,4.01835982
AURA ENERGY ORDINARY,AEE,4054670,826462427,.49060549
AURELIA METALS LTD ORDINARY,AMI,3949474,1691564582,.23348053
AURIZON HOLDINGS LTD ORDINARY,AZJ,23895243,1840703982,1.29815784
AURUMRESOURCES ORDINARY,AUE,31781,151993928,.02090939
AUSGOLD LIMITED ORDINARY,AUC,13550,356281468,.00380317
AUSGOV TREASURY BOND TB 0.25% 11-25 6M,GSBU25,199440,392000000,.05087755
AUSGOV TREASURY BOND TB 1.00% 11-31 6M,GSBU31,152670,418000000,.03652392
AUSGOV TREASURY BOND TB 1.00% 12-30 6M,GSBW30,8010,395000000,.00202785
AUSGOV TREASURY BOND TB 1.50% 06-31 6M,GSBK31,5650,394000000,.00143401
AUSGOV TREASURY BOND TB 1.75% 06-51 6M,GSBK51,25990,199000000,.0130603
AUSGOV TREASURY BOND TB 1.75% 11-32 6M,GSBU32,189110,290000000,.06521034
AUSGOV TREASURY BOND TB 2.25% 05-28 6M,GSBI28,520420,341000000,.15261584
AUSGOV TREASURY BOND TB 2.50% 05-30 6M,GSBI30,26190,379000000,.00691029
AUSGOV TREASURY BOND TB 2.75% 05-41 6M,GSBI41,29870,146000000,.0204589
AUSGOV TREASURY BOND TB 2.75% 11-29 6M,GSBU29,5760,377000000,.00152785
AUSGOV TREASURY BOND TB 3.25% 06-39 6M,GSBK39,29590,103000000,.02872816
AUSGOV TREASURY BOND TB 3.75% 05-34 6M,GSBI34,42160,225000000,.01873778
AUSSIE BROADBAND ORDINARY,ABB,5653783,295518061,1.91317681
AUSSTRATMATERIALS ORDINARY,ASM,3612549,181261409,1.99300503
AUST FINANCE GRP ORDINARY,AFG,1671297,270769045,.61724079
AUST VANADIUM LTD ORDINARY,AVL,1739907,8632524744,.02015525
AUST VINTAGE LTD ORDINARY,AVG,91797,329462923,.02786262
AUSTAL LIMITED ORDINARY,ASB,782763,362489162,.21594108
AUSTRALIAN AGRICULT. ORDINARY,AAC,1277862,602766747,.21199942
AUSTRALIAN ETHICAL ORDINARY,AEF,1409570,112782052,1.24981766
AUSTRALIAN FOUNDAT. ORDINARY,AFI,649,1257951377,.00005159
AUSTRALIAN MINES LTD ORDINARY,AUZ,287011,1398512124,.0205226
AUSTRALIAN UNITY OFF ORDINARY,AOF,109961,164383437,.06689299
AUSTRARE ORDINARY,AR3,134322,157963745,.08503344
AVITA MEDICAL CDI 5:1,AVH,168955,69276570,.24388477
BABY BUNTING GRP LTD ORDINARY,BBN,2282549,134906489,1.69194901
BANK OF QUEENSLAND. ORDINARY,BOQ,33798126,661469455,5.10955204
BANNERMAN ENERGY LTD ORDINARY,BMN,1725340,178604511,.96601144
BAPCOR LIMITED ORDINARY,BAP,10980094,339412500,3.23502935
BCI MINERALS LTD ORDINARY,BCI,173521,2884590098,.00601545
BEACH ENERGY LIMITED ORDINARY,BPT,39504407,2281333656,1.73163653
BEACON LIGHTING GRP ORDINARY,BLX,1124426,226836751,.49569834
BEGA CHEESE LTD ORDINARY,BGA,3461510,304775519,1.13575723
BELL FINANCIAL GROUP ORDINARY,BFG,1415,320743948,.00044116
BELLEVUE GOLD LTD ORDINARY,BGL,76078960,1279998987,5.94367345
BENDIGO AND ADELAIDE ORDINARY,BEN,15489539,567962936,2.72720947
BERKELEY ENERGIA LTD ORDINARY,BKY,700000,445796715,.15702224
BETASHARES ASX RES ETF UNITS,QRE,7980,32002888,.02493525
BETASHARES INDIA. ETF UNITS,IIND,9533,18058424,.05278977
BETMAKERS TECH GROUP ORDINARY,BET,34527648,965114394,3.57757052
BHP GROUP LIMITED ORDINARY,BHP,23225771,5073901188,.45774977
BIGTINCAN HLDGS LTD ORDINARY,BTH,3309417,821675934,.40276426
BISALLOY STEEL ORDINARY,BIS,2606,47850859,.00544609
BLACK CAT SYNDICATE ORDINARY,BC8,576128,443180789,.12999841
BLACKSTONE LTD ORDINARY,BSX,1263646,527936917,.23935549
BLOCK CDI 1:1 NYSE,SQ2,705401,43264028,1.63045614
BLUEBET HOLDINGS LTD ORDINARY,BBT,20833,561734404,.00370869
BLUESCOPE STEEL LTD ORDINARY,BSL,15399552,440074849,3.49930291
BOAB METALS LTD ORDINARY,BML,1,233395106,.00000043
BOSS ENERGY LTD ORDINARY,BOE,38398167,409688058,9.37253753
BOTANIX PHARMA LTD ORDINARY,BOT,95120,1814037788,.00524355
BOWEN COAL LIMITED ORDINARY,BCB,6853419,2849179123,.24054012
BRAINCHIP LTD ORDINARY,BRN,42794554,1962467976,2.1806498
BRAMBLES LIMITED ORDINARY,BXB,9568623,1392669735,.68707051
BRAVURA SOLUTION LTD ORDINARY,BVS,4111185,448354002,.91695066
BRAZILIAN RARE EARTH ORDINARY,BRE,205495,93401881,.22001163
BREVILLE GROUP LTD ORDINARY,BRG,5127246,143430691,3.57472028
BRICKWORKS LIMITED ORDINARY,BKW,1433425,152550751,.93963811
BUBS AUST LTD ORDINARY,BUB,2918111,893130038,.32672857
BURGUNDY D MINES LTD ORDINARY,BDM,97195,1421332274,.0068383
BWP TRUST ORDINARY UNITS,BWP,3775433,713511241,.52913434
CADOUX LIMITED ORDINARY,CCM,54732,370917589,.01475584
CALIX LIMITED ORDINARY,CXL,8808286,181606255,4.85021069
CAPRAL LIMITED ORDINARY,CAA,2700,17346675,.01556494
CAPRICORN METALS ORDINARY,CMM,5071374,377528031,1.34331058
CAPSTONECORP CDI1:1FOREXEMPT TSX,CSC,1960914,122095158,1.60605386
CAR GROUP LIMITED ORDINARY,CAR,3115047,377499166,.82517984
CARAVEL MINERALS LTD ORDINARY,CVV,1,524279799,.00000019
CARBONXT GROUP ORDINARY,CG1,367,324921646,.00011295
CARDNO LIMITED ORDINARY,CDD,3,39060663,.00000768
CARNABY RESOURCE LTD ORDINARY,CNB,112705,171937246,.06555008
CARNARVON ENERGY LTD ORDINARY,CVN,430324,1789086882,.02405272
CASH CONVERTERS ORDINARY,CCV,31083,627545015,.00495311
CASPIN RESOURCES ORDINARY,CPN,49481,94265665,.05249101
CASTILE RESOURCES ORDINARY,CST,32515,241902427,.01344137
CATALYST METALS ORDINARY,CYL,1,225782544,.00000044
CEDAR WOODS PROP. ORDINARY,CWP,2470,82478857,.00299471
CENTAURUS METALS LTD ORDINARY,CTM,911983,496215670,.18378763
CENTURIA CAPITAL FPO/UNITS STAPLED,CNI,5928217,830091925,.71416392
CENTURIA I REIT ORDINARY UNITS,CIP,13068134,634930635,2.05819869
CENTURIA OFFICE REIT ORDINARY UNITS,COF,6927923,597336931,1.15980155
CETTIRE ORDINARY,CTT,38739679,381238220,10.16154125
CHALICE MINING LTD ORDINARY,CHN,40307703,389026788,10.36116387
CHALLENGER LIMITED ORDINARY,CGF,7639322,691128285,1.10534067
CHAMPION IRON LTD ORDINARY,CIA,23907324,518101001,4.61441378
CHARTER HALL GROUP STAPLED US PROHIBIT.,CHC,4041451,472997199,.85443445
CHARTER HALL RETAIL UNITS,CQR,1026382,581229609,.17658804
CHARTER HALL SOC IN UNITS,CQE,2834521,373563586,.75877872
CHORUS LIMITED ORD FOR.EXEMPT NZX,CNU,5958345,433887294,1.37324717
CHRYSOSCORPLTD ORDINARY,C79,790142,115003797,.68705732
CHTR H LWR UNITS STAPLED,CLW,14076711,721890218,1.94997946
CITY CHIC COLLECTIVE ORDINARY,CCX,1202539,385157793,.31221983
CLARITY PHARMA ORDINARY,CU6,260203,315759910,.08240533
CLEAN SEAS LTD ORDINARY,CSS,39512,201313281,.01962712
CLEAN TEQ WATER ORDINARY,CNQ,670538,72242303,.92817916
CLEANAWAY WASTE LTD ORDINARY,CWY,26456183,2229874406,1.18644274
CLEARVUE TECHNOLOGIE ORDINARY,CPV,1080514,243283474,.44413785
CLINUVEL PHARMACEUT. ORDINARY,CUV,2884976,50077780,5.7609902
CLOSE LOOP ORDINARY,CLG,24302,531849866,.00456933
CLOVER CORPORATION ORDINARY,CLV,23884,166999341,.01430185
COAST ENTERTAINMENT ORDINARY,CEH,3555946,431735415,.8236401
COCHLEAR LIMITED ORDINARY,COH,259925,65495380,.39686005
CODA MINERALS LTD ORDINARY,COD,349493,175292556,.19937698
CODAN LIMITED ORDINARY,CDA,48769,181555390,.02686177
COGSTATE LTD ORDINARY,CGS,251398,170778816,.14720678
COLES GROUP ORDINARY,COL,10348150,1339419406,.77258474
COLLINS FOODS LTD ORDINARY,CKF,1625998,117814593,1.38013293
COMMONWEALTH BANK. ORDINARY,CBA,25138071,1673580358,1.50205342
COMPUTERSHARE LTD ORDINARY,CPU,7857275,589227820,1.33348677
CONICO LTD ORDINARY,CNJ,74032,2201527528,.00336276
CONRADASIAENERGYLTD CDI 1:1,CRD,99355,114952579,.08643129
CONTACT ENERGY LTD ORD FOR. EXEMPT NZX,CEN,49,256180889,.00001913
COOPER ENERGY LTD ORDINARY,COE,25685110,2640038229,.97290674
CORE LITHIUM ORDINARY,CXO,130326963,2136935544,6.09877838
CORONADO GLOBAL RES CDI 10:1,CRN,13768055,1676453730,.82126066
CORP TRAVEL LIMITED ORDINARY,CTD,7946389,146325746,5.43061574
CREDIT CORP GROUP ORDINARY,CCP,1599267,68066856,2.34955321
CRITICAL RESOURCES ORDINARY,CRR,723181,1780350279,.04062015
CROMWELL PROP FPO/UNITS STAPLED,CMW,7384010,2618866699,.2819544
CSL LIMITED ORDINARY,CSL,1497940,484085182,.30943728
CVC LIMITED ORDINARY,CVC,375,116824094,.000321
CYCLOPHARM LIMITED ORDINARY,CYC,1159,111136850,.00104286
CYNATA THERAPEUTICS ORDINARY,CYP,629111,180676271,.34819791
CYPRIUM METALS LTD ORDINARY,CYM,116807,1525962325,.00765465
DALRYMPLE BAY FPO/NOTES STAPLED,DBI,1744,495761667,.00035178
DATA#3 LIMITED ORDINARY,DTL,3680255,154908333,2.37576309
DE GREY MINING ORDINARY,DEG,54056277,2396757505,2.255392
DEEP YELLOW LIMITED ORDINARY,DYL,81967112,969457541,8.45494604
DELTA LITHIUM ORDINARY,DLI,725117,713407142,.1016414
DETERRA ORDINARY,DRR,7692730,528665662,1.45512193
DEVELOP GLOBAL LTD ORDINARY,DVP,7082383,258053581,2.74453971
DEVEX RESOURCES LTD ORDINARY,DEV,2203977,441190671,.49955204
DEXUS CONV RET REIT UNITS STAPLED,DXC,1474,137756563,.00107
DEXUS INDUSTRIA REIT FPO/UNITS STAPLED,DXI,2952843,317269911,.93070376
DEXUS UNITS STAPLED,DXS,60738848,1075565246,5.64715606
DICKER DATA LIMITED ORDINARY,DDR,458304,180482714,.25393235
DOCTOR CARE ANYWHERE CDI 1:1,DOC,125658,366642246,.03427265
