Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,114221,465520180,.02453621
4DS MEMORY LIMITED ORDINARY,4DS,89369,2060898718,.00433641
29METALSLIMITED ORDINARY,29M,13769451,1371336435,1.00408993
88 ENERGY LTD ORDINARY,88E,263206,1157350417,.02274212
ABACUS GROUP FPO/UNITS STAPLED,ABG,1712368,893657633,.19161343
ABACUS STORAGE KING FPO/UNITS STAPLED,ASK,3481845,1314102962,.26495983
ACCENT GROUP LTD ORDINARY,AX1,12527390,601185674,2.08378053
ACROW LIMITED ORDINARY,ACF,29287,307954816,.00951016
ADAIRS LIMITED ORDINARY,ADH,3671799,176742067,2.07749013
ADORE BEAUTY ORDINARY,ABY,786692,93957928,.83728113
ADRIATIC METALS CDI 1:1,ADT,9108866,303389221,3.00236969
ADVANCED HEALTH ORDINARY,AHI,20052,280582265,.00714657
AERIS RESOURCES LTD ORDINARY,AIS,13713596,968295499,1.41626146
AGL ENERGY LIMITED. ORDINARY,AGL,17263645,672747233,2.56614136
AIC MINES LTD ORDINARY,A1M,2136065,718482640,.29730224
AINSWORTH GAME TECH. ORDINARY,AGI,68922,336793929,.02046415
AIR NEW ZEALAND ORD FOR. EXEMPT NZX,AIZ,555847,3306652929,.01680996
AIRTASKER LIMITED ORDINARY,ART,3505,454333419,.00077146
ALCOA CORPORATION CDI 1:1 FOR. EXEMPT,AAI,270049,61092806,.44203077
ALKANE RESOURCES LTD ORDINARY,ALK,8605906,605541892,1.42119086
ALLIANCE AVIATION ORDINARY,AQZ,73404,160950999,.04560643
ALLIGATOR ENERGY ORDINARY,AGE,51916670,3873599345,1.34026949
ALPHA HPA LTD ORDINARY,A4N,32600603,1137002297,2.86724161
ALS LTD ORDINARY,ALQ,3633109,507199638,.71630749
ALTECH BATT LTD ORDINARY,ATC,2706042,2002723406,.13511811
ALTERITY THERAP LTD ORDINARY,ATH,153217,9127370686,.00167865
AMA GROUP LIMITED ORDINARY,AMA,191221,4782595517,.00399827
AMAERO LTD ORDINARY,3DA,1797793,690670634,.26029672
AMCOR PLC CDI1:1FOREXEMPT NYSE,AMC,6114136,628523720,.97277729
AMERICAN RARE EARTHS ORDINARY,ARR,289627,507423299,.05707799
AMERICANWESTMETALS ORDINARY,AW1,27029,755528156,.0035775
AMOTIV ORDINARY,AOV,3989473,135899908,2.93559654
AMP LIMITED ORDINARY,AMP,17003117,2531739839,.67159811
AMPLITUDE ENERGY ORDINARY,AEL,37920577,2651408024,1.43020526
AMPOL LIMITED ORDINARY,ALD,5349174,238302099,2.24470285
ANDEAN SILVER ORDINARY,ASL,2499431,158773755,1.57420916
ANDROMEDA METALS LTD ORDINARY,ADN,1654073,3815315863,.0433535
ANSELL LIMITED ORDINARY,ANN,2213469,145944884,1.5166472
ANSON RESOURCES LTD ORDINARY,ASN,4890591,1386736539,.35266908
ANTIPA MINERALS LTD ORDINARY,AZY,213248,579542891,.0367959
ANZ GROUP HOLDINGS ORDINARY,ANZ,15485105,2971365622,.52114438
APA GROUP UNITS STAPLED,APA,48337094,1304487508,3.70544706
APPEN LIMITED ORDINARY,APX,8082813,264902700,3.05123844
ARAFURA RARE EARTHS ORDINARY,ARU,54697722,2464328691,2.219579
ARB CORPORATION. ORDINARY,ARB,3690568,83163152,4.43774425
ARCHER MATERIALS ORDINARY,AXE,270371,254847013,.10609149
ARENA REIT. FPO/UNITS STAPLED,ARF,962579,400017368,.2406343
ARGENT MINERALS ORDINARY,ARD,533,1446140480,.00003686
ARGO INVESTMENTS ORDINARY,ARG,57384,763256634,.00751831
ARGOSY MINERALS LTD ORDINARY,AGY,5492269,1455920934,.37723676
ARISTOCRAT LEISURE ORDINARY,ALL,3516988,623769445,.56382819
ARIZONA LITHIUM LTD ORDINARY,AZL,333648,5270314445,.0063307
ARN MEDIA LIMITED ORDINARY,A1N,2806221,313050373,.89641196
AROA BIOSURGERY ORDINARY,ARX,340463,345033235,.09867542
ARROW MINERALS ORDINARY,AMD,127793,853957067,.0149648
ARTICORE GROUP LTD ORDINARY,ATG,58500,284568877,.02055741
ASTRAL RESOURCES NL ORDINARY,AAR,1879520,1418017229,.13254564
ASX LIMITED ORDINARY,ASX,2288577,194299425,1.17786092
ATLAS ARTERIA FPOSTUSPROHEXCLQIBQP,ALX,16961483,1450833707,1.16908526
ATOMOS ORDINARY,AMS,175915,1215018471,.01447838
AU CLINICAL LABS ORDINARY,ACL,5164257,196391386,2.62957409
AUB GROUP LTD ORDINARY,AUB,524514,116587434,.44988896
AUCKLAND INTERNATION ORD FOR.EXEMPT NZX,AIA,8504755,1688109075,.50380364
AUDINATEGROUPLTD ORDINARY,AD8,4716127,83362982,5.65733961
AUMEGAMETALS ORDINARY,AAM,1005,604113042,.00016636
AURA ENERGY ORDINARY,AEE,8449595,890750141,.94859317
AURELIA METALS LTD ORDINARY,AMI,2,1692572640,.00000012
AURIC MINING ORDINARY,AWJ,3239,185981102,.00174157
AURIZON HOLDINGS LTD ORDINARY,AZJ,17371810,1773233732,.97966837
AUSGOLD LIMITED ORDINARY,AUC,804342,357448136,.22502341
AUSGOV TREASURY BOND TB 0.25% 11-25 6M,GSBU25,88000,392000000,.02244898
AUSGOV TREASURY BOND TB 0.50% 09-26 6M,GSBQ26,40140,394000000,.01018782
AUSGOV TREASURY BOND TB 1.25% 05-32 6M,GSBI32,88740,400000000,.022185
AUSGOV TREASURY BOND TB 1.50% 06-31 6M,GSBK31,100000,423000000,.02364066
AUSGOV TREASURY BOND TB 1.75% 06-51 6M,GSBK51,99600,202000000,.04930693
AUSGOV TREASURY BOND TB 1.75% 11-32 6M,GSBU32,195700,317000000,.06173502
AUSGOV TREASURY BOND TB 2.25% 05-28 6M,GSBI28,5890,359000000,.00164067
AUSGOV TREASURY BOND TB 2.50% 05-30 6M,GSBI30,209780,410000000,.05116585
AUSGOV TREASURY BOND TB 2.75% 06-35 6M,GSBK35,1720,253500000,.0006785
AUSGOV TREASURY BOND TB 2.75% 11-28 6M,GSBU28,140030,423000000,.03310402
AUSGOV TREASURY BOND TB 2.75% 11-29 6M,GSBU29,131520,401000000,.032798
AUSGOV TREASURY BOND TB 3.00% 03-47 6M,GSBE47,95290,142000000,.06710563
AUSGOV TREASURY BOND TB 3.00% 11-33 6M,GSBU33,795100,254000000,.3130315
AUSGOV TREASURY BOND TB 3.50% 12-34 6M,GSBW34,472940,280000000,.16890714
AUSGOV TREASURY BOND TB 3.75% 05-34 6M,GSBI34,31630,250000000,.012652
AUSGOV TREASURY BOND TB 4.75% 06-54 6M,GSBK54,22330,95000000,.02350526
AUSSIE BROADBAND ORDINARY,ABB,247000,286699099,.08615304
AUSSTRATMATERIALS ORDINARY,ASM,1397689,181340682,.77075314
AUST FINANCE GRP ORDINARY,AFG,662801,270769045,.24478463
AUST VANADIUM LTD ORDINARY,AVL,2215785,8634658076,.02566153
AUSTAL LIMITED ORDINARY,ASB,4902318,421180044,1.16394831
AUSTRALIAN AGRICULT. ORDINARY,AAC,1030162,602766747,.17090558
AUSTRALIAN COMM.LOAN 1.75% LN 21-NOV-32,XCLWBJ,54000,317000000,.0170347
AUSTRALIAN COMM.LOAN 2.50% LN 21-05-30,XCLWAY,661490,410000000,.16133902
AUSTRALIAN COMM.LOAN 2.75% LN 21-NOV-28,XCLWAU,71700,423000000,.01695035
AUSTRALIAN COMM.LOAN 2.75% LN 21-NOV-29,XCLWAX,114450,401000000,.02854115
