Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,65840,410531163,.01603776
4DS MEMORY LIMITED ORDINARY,4DS,1055643,1763434918,.05986288
5EADVANCED CDI 10:1,5EA,69690,333511100,.02089586
29METALSLIMITED ORDINARY,29M,32145166,701862508,4.5799805
88 ENERGY LTD ORDINARY,88E,6580151,28933811952,.02274208
ABACUS GROUP FPO/UNITS STAPLED,ABG,3009744,893657633,.33678938
ABACUS STORAGE KING FPO/UNITS STAPLED,ASK,561437,1314102962,.04272397
ACCENT GROUP LTD ORDINARY,AX1,25745641,565998979,4.54870803
ACROW LIMITED ORDINARY,ACF,38013,301396067,.01261231
ACTINOGEN MEDICAL ORDINARY,ACW,588510,2712501407,.02169621
ADAIRS LIMITED ORDINARY,ADH,2811324,174682776,1.60938821
ADORE BEAUTY ORDINARY,ABY,331948,93957928,.3532943
ADRIATIC METALS CDI 1:1,ADT,19670006,279924969,7.02688512
ADVANCED HEALTH ORDINARY,AHI,20052,247099678,.00811494
AERIS RESOURCES LTD ORDINARY,AIS,13764783,967525540,1.42267903
AGL ENERGY LIMITED. ORDINARY,AGL,20627564,672747233,3.06616854
AI-MEDIA TECHNOLOGIE ORDINARY,AIM,1240,208814047,.00059383
AIC MINES LTD ORDINARY,A1M,6264,575682640,.0010881
AINSWORTH GAME TECH. ORDINARY,AGI,209209,336793929,.06211781
AIR NEW ZEALAND ORD FOR. EXEMPT NZX,AIZ,3449352,3368464315,.10240132
AIRTASKER LIMITED ORDINARY,ART,14516,453260344,.00320257
ALCOA CORPORATION CDI 1:1 FOR. EXEMPT,AAI,568242,57252132,.99252548
ALKANE RESOURCES LTD ORDINARY,ALK,7409209,604579770,1.22551388
ALLIANCE AVIATION ORDINARY,AQZ,3027,160751712,.00188303
ALLIGATOR ENERGY ORDINARY,AGE,19531098,3873599345,.50421059
ALPHA HPA LTD ORDINARY,A4N,25491721,1134580693,2.24679665
ALS LTD ORDINARY,ALQ,6034783,484572851,1.24538199
ALTECH BATT LTD ORDINARY,ATC,667625,1883890588,.03543863
ALTERITY THERAP LTD ORDINARY,ATH,1628842,5320336118,.0306154
AMA GROUP LIMITED ORDINARY,AMA,25969545,4782595517,.54300107
AMAERO INTERNATIONAL ORDINARY,3DA,180234,599380442,.03007005
AMCOR PLC CDI1:1FOREXEMPT NYSE,AMC,7624161,608636076,1.25266334
AMERICAN RARE EARTHS ORDINARY,ARR,374395,494423299,.07572358
AMERICANWESTMETALS ORDINARY,AW1,678573,518186969,.13095138
AMOTIV ORDINARY,AOV,2819328,140894696,2.00101784
AMP LIMITED ORDINARY,AMP,40826397,2580146242,1.5823288
AMPOL LIMITED ORDINARY,ALD,6867486,238302099,2.88184033
ANSELL LIMITED ORDINARY,ANN,2323117,145943984,1.59178675
ANSON RESOURCES LTD ORDINARY,ASN,16539906,1292128206,1.28005146
ANTEOTECH LTD ORDINARY,ADO,420,2489770015,.00001687
ANTIPA MINERALS LTD ORDINARY,AZY,120234,4768699428,.00252132
ANZ GROUP HOLDINGS ORDINARY,ANZ,15824309,2983072730,.5304701
APA GROUP UNITS STAPLED,APA,35488241,1294951714,2.74050689
APM HUMAN SERVICES ORDINARY,APM,5990563,917181946,.65314881
APPEN LIMITED ORDINARY,APX,6015619,223093989,2.69645051
ARAFURA RARE EARTHS ORDINARY,ARU,101109950,2464328691,4.10294091
ARB CORPORATION. ORDINARY,ARB,2785628,82332195,3.38340062
ARCADIUM LITHIUM PLC CDI1:1FOREXEMPT NYSE,LTM,9235633,349546393,2.6421766
ARCHER MATERIALS ORDINARY,AXE,109842,254847013,.04310115
ARENA REIT. FPO/UNITS STAPLED,ARF,1821737,395444628,.46068068
ARGO INVESTMENTS ORDINARY,ARG,12499,764097326,.00163579
ARGOSY MINERALS LTD ORDINARY,AGY,6984092,1455920934,.4797027
ARISTOCRAT LEISURE ORDINARY,ALL,3546527,629576199,.56331974
ARIZONA LITHIUM LTD ORDINARY,AZL,3167799,4473814528,.07080756
ARN MEDIA LIMITED ORDINARY,A1N,3240160,313050373,1.03502831
AROA BIOSURGERY ORDINARY,ARX,602216,344900256,.17460584
ARTICORE GROUP LTD ORDINARY,ATG,520987,286865671,.18161357
ASKARIMETALSLIMITED ORDINARY,AS2,1510,98070146,.00153971
ASTON MINERALS LTD ORDINARY,ASO,507128,1295064269,.03915852
ASTRAL RESOURCES NL ORDINARY,AAR,932692,935197536,.09973208
ASX LIMITED ORDINARY,ASX,4154006,193887876,2.14247847
ATLAS ARTERIA FPOSTUSPROHEXCLQUP,ALX,16711532,1450833707,1.15185716
ATOMOS ORDINARY,AMS,1897539,1214959808,.15618122
AU CLINICAL LABS ORDINARY,ACL,1789091,201834015,.88641699
AUB GROUP LTD ORDINARY,AUB,2945917,116587434,2.52678775
AUCKLAND INTERNATION ORD FOR.EXEMPT NZX,AIA,5533907,1652895611,.33480076
AUDINATEGROUPLTD ORDINARY,AD8,3594340,83342014,4.31275875
AURA ENERGY ORDINARY,AEE,3498687,826462427,.42333286
AURELIA METALS LTD ORDINARY,AMI,3410885,1691564582,.20164084
AURIZON HOLDINGS LTD ORDINARY,AZJ,22789600,1840703982,1.23809152
AUSGOLD LIMITED ORDINARY,AUC,26540,356281468,.00744917
AUSGOV TREASURY BOND TB 0.25% 11-25 6M,GSBU25,199440,392000000,.05087755
AUSGOV TREASURY BOND TB 0.50% 09-26 6M,GSBQ26,100000,394000000,.02538071
AUSGOV TREASURY BOND TB 1.00% 11-31 6M,GSBU31,52670,418000000,.01260048
AUSGOV TREASURY BOND TB 1.00% 12-30 6M,GSBW30,15650,395000000,.00396203
AUSGOV TREASURY BOND TB 1.50% 06-31 6M,GSBK31,5650,394000000,.00143401
AUSGOV TREASURY BOND TB 1.75% 06-51 6M,GSBK51,25990,199000000,.0130603
AUSGOV TREASURY BOND TB 2.25% 05-28 6M,GSBI28,14870,341000000,.0043607
AUSGOV TREASURY BOND TB 2.50% 05-30 6M,GSBI30,26190,379000000,.00691029
AUSGOV TREASURY BOND TB 3.00% 03-47 6M,GSBE47,59520,142000000,.04191549
AUSGOV TREASURY BOND TB 3.25% 06-39 6M,GSBK39,69120,103000000,.0671068
AUSGOV TREASURY BOND TB 3.75% 05-34 6M,GSBI34,66140,225000000,.02939556
AUSSIE BROADBAND ORDINARY,ABB,6331328,295642342,2.14154981
AUSSTRATMATERIALS ORDINARY,ASM,2211369,181319636,1.21959709
AUST FINANCE GRP ORDINARY,AFG,1636276,270769045,.60430689
AUST VANADIUM LTD ORDINARY,AVL,1739907,8632524744,.02015525
AUSTAL LIMITED ORDINARY,ASB,1756856,362489162,.48466442
AUSTRALIAN AGRICULT. ORDINARY,AAC,1234137,602766747,.20474537
AUSTRALIAN ETHICAL ORDINARY,AEF,1314449,112782052,1.16547711
AUSTRALIAN MINES LTD ORDINARY,AUZ,201011,1398512124,.0143732
AUSTRARE ORDINARY,AR3,115632,157963745,.07320161
AUTOSPORTS GRP LTD. ORDINARY,ASG,80193,201000000,.03989701
AVITA MEDICAL CDI 5:1,AVH,163808,70422040,.232609
AXP ENERGY LTD ORDINARY,AXP,1058500,5824680673,.01817267
BABY BUNTING GRP LTD ORDINARY,BBN,2305440,134906489,1.70891706
BANK OF QUEENSLAND. ORDINARY,BOQ,32870264,661469455,4.96927919
BANNERMAN ENERGY LTD ORDINARY,BMN,1959764,178604511,1.09726456
BAPCOR LIMITED ORDINARY,BAP,11271627,339412500,3.32092277
BCI MINERALS LTD ORDINARY,BCI,54473,2884590098,.00188841
BEACH ENERGY LIMITED ORDINARY,BPT,42579301,2281333656,1.86642146
BEACON LIGHTING GRP ORDINARY,BLX,1202962,227736338,.52822576
BEACON MINERALS ORDINARY,BCN,6500000,3756768171,.17302106
BEGA CHEESE LTD ORDINARY,BGA,2532067,304775519,.83079737
BELL FINANCIAL GROUP ORDINARY,BFG,801,320743948,.00024973
BELLEVUE GOLD LTD ORDINARY,BGL,88300386,1279998987,6.89847312
BENDIGO AND ADELAIDE ORDINARY,BEN,13885407,567966974,2.44475606
BERKELEY ENERGIA LTD ORDINARY,BKY,700000,445796715,.15702224
BETASHARES ASX RES ETF UNITS,QRE,7980,32002888,.02493525
BETMAKERS TECH GROUP ORDINARY,BET,33938587,965114394,3.51653516
BHP GROUP LIMITED ORDINARY,BHP,21930039,5073901188,.43221258
BIGTINCAN HLDGS LTD ORDINARY,BTH,3186030,821675934,.38774776
BIOME AUSTRALIA LTD ORDINARY,BIO,221,219122305,.00010086
BISALLOY STEEL ORDINARY,BIS,14931,47903601,.03116885
BLACK CAT SYNDICATE ORDINARY,BC8,298142,443569677,.06721424
BLACKSTONE LTD ORDINARY,BSX,1259736,527936917,.23861487
BLOCK CDI 1:1 NYSE,SQ2,781164,45722191,1.7085008
BLUESCOPE STEEL LTD ORDINARY,BSL,13259790,439124849,3.01959455
BOAB METALS LTD ORDINARY,BML,1,233395106,.00000043
BOSS ENERGY LTD ORDINARY,BOE,44439952,409688058,10.84726565
BOTANIX PHARMA LTD ORDINARY,BOT,132188,1814037788,.00728695
BOWEN COAL LIMITED ORDINARY,BCB,6382401,2849179123,.22400842
BPM MINERALS ORDINARY,BPM,17520,67122214,.02610164
BRAINCHIP LTD ORDINARY,BRN,48834959,1962467976,2.48844616
BRAMBLES LIMITED ORDINARY,BXB,8364043,1392731609,.60054952
BRAVURA SOLUTION LTD ORDINARY,BVS,4109953,448354002,.91667588
BRAZILIAN RARE EARTH ORDINARY,BRE,151156,93401881,.161834
BREVILLE GROUP LTD ORDINARY,BRG,5414591,143937823,3.76175691
BRICKWORKS LIMITED ORDINARY,BKW,1424774,152550751,.93396721
BUBS AUST LTD ORDINARY,BUB,2488064,893130038,.27857802
BURGUNDY D MINES LTD ORDINARY,BDM,8333,1421332274,.00058628
BWP TRUST ORDINARY UNITS,BWP,4514484,713511241,.63271379
CADOUX LIMITED ORDINARY,CCM,54732,370917589,.01475584
CALIX LIMITED ORDINARY,CXL,5939224,182057872,3.26227256
CAPRICORN METALS ORDINARY,CMM,5983812,377528031,1.58499807
CAPSTONECORP CDI1:1FOREXEMPT TSX,CSC,836689,122095158,.68527615
CAR GROUP LIMITED ORDINARY,CAR,2950334,377499166,.78154716
CARAVEL MINERALS LTD ORDINARY,CVV,494,524279799,.00009422
CARDNO LIMITED ORDINARY,CDD,3,39060663,.00000768
CARNABY RESOURCE LTD ORDINARY,CNB,128075,171937246,.07448939
CARNARVON ENERGY LTD ORDINARY,CVN,521864,1789086882,.02916929
