Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,36975,465540474,.00794238
4DS MEMORY LIMITED ORDINARY,4DS,11419,2060898718,.00055408
29METALSLIMITED ORDINARY,29M,14280026,1371336435,1.04132185
88 ENERGY LTD ORDINARY,88E,263206,1157350417,.02274212
ABACUS GROUP FPO/UNITS STAPLED,ABG,1409293,893657633,.15769943
ABACUS STORAGE KING FPO/UNITS STAPLED,ASK,5272333,1314102962,.40121156
ACCENT GROUP LTD ORDINARY,AX1,14481027,601185674,2.40874452
ACROW LIMITED ORDINARY,ACF,29287,308001571,.00950872
ADAIRS LIMITED ORDINARY,ADH,2958375,176742067,1.6738375
ADORE BEAUTY ORDINARY,ABY,793185,93957928,.84419167
ADRIATIC METALS CDI 1:1,ADT,6810276,302493335,2.25138051
ADVANCE ZINCTEK LTD ORDINARY,ANO,1000,62646107,.00159627
ADVANCED HEALTH ORDINARY,AHI,20052,280582265,.00714657
AERIS RESOURCES LTD ORDINARY,AIS,13713596,968295499,1.41626146
AGL ENERGY LIMITED. ORDINARY,AGL,18146713,672747233,2.69740433
AIC MINES LTD ORDINARY,A1M,15496,718482640,.00215677
AIR NEW ZEALAND ORD FOR. EXEMPT NZX,AIZ,306219,3303824700,.00926862
AIRTASKER LIMITED ORDINARY,ART,3505,454357883,.00077142
ALCOA CORPORATION CDI 1:1 FOR. EXEMPT,AAI,289634,61600301,.47018277
ALKANE RESOURCES LTD ORDINARY,ALK,23688506,605541892,3.91195164
ALLIANCE AVIATION ORDINARY,AQZ,53091,160950999,.03298582
ALLIGATOR ENERGY ORDINARY,AGE,12538286,4430050965,.28302803
ALPHA HPA LTD ORDINARY,A4N,32141814,1137002297,2.82689086
ALS LTD ORDINARY,ALQ,3454339,507199638,.68106101
ALTECH BATT LTD ORDINARY,ATC,1874265,2002723406,.09358581
ALTERITY THERAP LTD ORDINARY,ATH,23789959,9207465724,.25837684
AMA GROUP LIMITED ORDINARY,AMA,196264,4782595517,.00410371
AMAERO LTD ORDINARY,3DA,582502,693804343,.08395768
AMCOR PLC CDI1:1FOREXEMPT NYSE,AMC,6996358,641887225,1.08996686
AMERICAN RARE EARTHS ORDINARY,ARR,2253667,509923299,.44196196
AMERICANWESTMETALS ORDINARY,AW1,6454,834225618,.00077365
AMOTIV ORDINARY,AOV,3837500,135805758,2.82572702
AMP LIMITED ORDINARY,AMP,19897402,2531739839,.78591811
AMPLIA THERAPEUTICS ORDINARY,ATX,200090,389672669,.05134823
AMPLITUDE ENERGY ORDINARY,AEL,33672048,2651408024,1.26996855
AMPOL LIMITED ORDINARY,ALD,5532262,238302099,2.32153306
ANDEAN SILVER ORDINARY,ASL,2913750,184273755,1.58120726
ANDROMEDA METALS LTD ORDINARY,ADN,293869,3815315863,.00770235
ANSELL LIMITED ORDINARY,ANN,2582339,145944884,1.7693933
ANSON RESOURCES LTD ORDINARY,ASN,4591258,1386736539,.33108365
ANTIPA MINERALS LTD ORDINARY,AZY,1808122,647205218,.27937383
ANZ GROUP HOLDINGS ORDINARY,ANZ,15330040,2983520180,.51382391
APA GROUP UNITS STAPLED,APA,44925235,1304487508,3.44389921
APPEN LIMITED ORDINARY,APX,10085362,264902700,3.80719487
ARAFURA RARE EARTHS ORDINARY,ARU,66654106,2464328691,2.70475713
ARB CORPORATION. ORDINARY,ARB,3944778,83163152,4.7434205
ARCHER MATERIALS ORDINARY,AXE,3632,254847013,.00142517
ARENA REIT. FPO/UNITS STAPLED,ARF,1399363,400017368,.34982556
ARGO INVESTMENTS ORDINARY,ARG,147,760996574,.00001932
ARGOSY MINERALS LTD ORDINARY,AGY,5492269,1535920934,.357588
ARISTOCRAT LEISURE ORDINARY,ALL,2290084,622589318,.3678322
ARN MEDIA LIMITED ORDINARY,A1N,2748538,313050373,.87798586
AROA BIOSURGERY ORDINARY,ARX,325908,345033235,.09445699
AROVELLA THERAPEUTIC ORDINARY,ALA,66,1188566442,.00000555
ARROW MINERALS ORDINARY,AMD,127793,877766591,.01455888
ARTICORE GROUP LTD ORDINARY,ATG,58500,284568877,.02055741
ASTRAL RESOURCES NL ORDINARY,AAR,1895712,1418019379,.13368731
ASX LIMITED ORDINARY,ASX,2710868,194299425,1.39520125
ATLAS ARTERIA FPOSTUSPROHEXCLQIBQP,ALX,17900276,1450833707,1.2337924
ATOMOS ORDINARY,AMS,15450,1215018471,.00127159
AU CLINICAL LABS ORDINARY,ACL,5856411,196391386,2.98201012
AUB GROUP LTD ORDINARY,AUB,368893,116587434,.31640889
AUCKLAND INTERNATION ORD FOR.EXEMPT NZX,AIA,9381084,1688109075,.55571551
AUDINATEGROUPLTD ORDINARY,AD8,4047784,84232169,4.80550845
AURA ENERGY ORDINARY,AEE,6725497,890750141,.75503743
AURELIA METALS LTD ORDINARY,AMI,535646,1692572640,.03164685
AURIC MINING ORDINARY,AWJ,3239,185981102,.00174157
AURIZON HOLDINGS LTD ORDINARY,AZJ,27056952,1750443988,1.54571938
AUSGOLD LIMITED ORDINARY,AUC,2077829,418382872,.49663338
AUSGOV TREASURY BOND TB 0.50% 09-26 6M,GSBQ26,17140,394000000,.00435025
AUSGOV TREASURY BOND TB 1.25% 05-32 6M,GSBI32,165840,400000000,.04146
AUSGOV TREASURY BOND TB 1.50% 06-31 6M,GSBK31,99040,423000000,.02341371
AUSGOV TREASURY BOND TB 1.75% 11-32 6M,GSBU32,134150,317000000,.04231861
AUSGOV TREASURY BOND TB 2.25% 05-28 6M,GSBI28,6900,369000000,.00186992
AUSGOV TREASURY BOND TB 2.50% 05-30 6M,GSBI30,117170,410000000,.02857805
AUSGOV TREASURY BOND TB 2.75% 06-35 6M,GSBK35,100000,265500000,.03766478
AUSGOV TREASURY BOND TB 2.75% 11-28 6M,GSBU28,113870,423000000,.02691962
AUSGOV TREASURY BOND TB 2.75% 11-29 6M,GSBU29,127520,411000000,.03102676
AUSGOV TREASURY BOND TB 3.00% 11-33 6M,GSBU33,24830,254000000,.00977559
AUSGOV TREASURY BOND TB 3.25% 06-39 6M,GSBK39,40000,108000000,.03703704
AUSGOV TREASURY BOND TB 3.75% 05-34 6M,GSBI34,43000,250000000,.0172
AUSSIE BROADBAND ORDINARY,ABB,161392,286699099,.05629317
AUSSTRATMATERIALS ORDINARY,ASM,1250109,202346103,.6178073
AUST FINANCE GRP ORDINARY,AFG,472036,270769045,.1743316
AUST VANADIUM LTD ORDINARY,AVL,1789311,8634658076,.02072243
AUSTAL LIMITED ORDINARY,ASB,4792580,421180044,1.13789342
AUSTRALIAN AGRICULT. ORDINARY,AAC,1385313,602766747,.22982572
AUSTRALIAN COMM.LOAN 2.50% LN 21-05-30,XCLWAY,293061,410000000,.07147829
AUSTRALIAN COMM.LOAN 2.75% LN 21-NOV-29,XCLWAX,189670,411000000,.04614842
AUSTRALIAN COMM.LOAN 3.00% LN 21-MAR-47,XCLWAS,44550,142000000,.03137324
AUSTRALIAN COMM.LOAN 4.75% LN 21-JUN-54,XCLWBO,20451,98000000,.02086837
AUSTRALIAN ETHICAL ORDINARY,AEF,642011,113419775,.56604856
AUSTRALIAN FOUNDAT. ORDINARY,AFI,5402,1254058596,.00043076
AUTOSPORTS GRP LTD. ORDINARY,ASG,79594,202436781,.03931795
AVITA MEDICAL CDI 5:1,AVH,163325,71260485,.22919434
BABY BUNTING GRP LTD ORDINARY,BBN,401913,134919963,.29788994
BANK OF QUEENSLAND. ORDINARY,BOQ,18071991,661469455,2.73209758
BANNERMAN ENERGY LTD ORDINARY,BMN,7346686,205403260,3.57671344
BAPCOR LIMITED ORDINARY,BAP,4377455,339412500,1.28971532
BCI MINERALS LTD ORDINARY,BCI,97607,2887513061,.00338031
BEACH ENERGY LIMITED ORDINARY,BPT,72852519,2281333656,3.19341797
BEACON LIGHTING GRP ORDINARY,BLX,1242561,228656060,.54341923
BEETALOOENERGYAUSLTD ORDINARY,BTL,26083,1234490760,.00211286
BEFOREPAY GROUP ORDINARY,B4P,7235,48257188,.01499259
BEGA CHEESE LTD ORDINARY,BGA,3688687,305184497,1.20867444
BELARAROXLIMITED ORDINARY,BRX,968113,161998977,.59760439
BELLEVUE GOLD LTD ORDINARY,BGL,99032711,1476326107,6.70805119
BENDIGO AND ADELAIDE ORDINARY,BEN,12535882,567978931,2.20710335
BERKELEY ENERGIA LTD ORDINARY,BKY,111011,445796715,.02490171
BETA AUS COMP BOND ETF UNITS,OZBD,20905,15299332,.13663995
BETASHARESCASHETF ETF UNITS,AAA,698,81133926,.00086031
BETMAKERS TECH GROUP ORDINARY,BET,4312064,1098631275,.3924942
BETR ENTERTAINMENT ORDINARY,BBT,6607367,1025517716,.64429574
BHP GROUP LIMITED ORDINARY,BHP,44299607,5075992235,.87272803
BIOME AUSTRALIA LTD ORDINARY,BIO,324755,220609231,.14720826
BISALLOY STEEL ORDINARY,BIS,2083,47903601,.00434832
BLACK CAT SYNDICATE ORDINARY,BC8,8166450,707608876,1.15409095
BLOCK INC CDI 1:1 NYSE,XYZ,579995,45196927,1.28326202
BLUESCOPE STEEL LTD ORDINARY,BSL,13065287,438609849,2.97879471
BOSS ENERGY LTD ORDINARY,BOE,53939004,414921511,12.99980902
BOTANIX PHARMA LTD ORDINARY,BOT,66140291,1961126643,3.37256603
BOWEN COAL LIMITED ORDINARY,BCB,28160,107757556,.02613274
BRAINCHIP LTD ORDINARY,BRN,52747137,2025741735,2.60384313
BRAMBLES LIMITED ORDINARY,BXB,9767229,1366993980,.71450417
BRAVURA SOLUTION LTD ORDINARY,BVS,10650422,448354002,2.3754493
BRAZILIAN RARE EARTH ORDINARY,BRE,186510,112716981,.16546753
BREVILLE GROUP LTD ORDINARY,BRG,8102172,143942481,5.62875667
BRICKWORKS LIMITED ORDINARY,BKW,1816724,152944922,1.18782891
BRIGHTSTAR RESOURCES ORDINARY,BTR,69355,472577472,.0146759
BUBS AUST LTD ORDINARY,BUB,143583,893130038,.01607638
BURGUNDY D MINES LTD ORDINARY,BDM,8174,1421332274,.00057509
BWP GROUP ORDINARY UNITS,BWP,5559218,713511241,.77913531
CADOUX LIMITED ORDINARY,CCM,54732,370917589,.01475584
CALIX LIMITED ORDINARY,CXL,1972385,214675336,.91877578
CANYON RESOURCES LTD ORDINARY,CAY,426935,1784776795,.02392092
CAPRICORN METALS ORDINARY,CMM,2025321,431172662,.46972389
CAPSTONECORP CDI1:1FOREXEMPT TSX,CSC,1507517,195880294,.76961136
CAR GROUP LIMITED ORDINARY,CAR,3752259,377864403,.99301733
CARAVEL MINERALS LTD ORDINARY,CVV,5301,558762558,.0009487
CARNABY RESOURCE LTD ORDINARY,CNB,346466,228388859,.15170004
CARNARVON ENERGY LTD ORDINARY,CVN,1753571,1789086882,.09801486
CASH CONVERTERS ORDINARY,CCV,4036,627545015,.00064314
CASTILE RESOURCES ORDINARY,CST,180,305748580,.00005887
CATALYST METALS ORDINARY,CYL,1946739,251802839,.77312035
CATAPULT GRP INT LTD ORDINARY,CAT,2553367,283692353,.90004788
CEDAR WOODS PROP. ORDINARY,CWP,442,82510622,.00053569
CENTURIA CAPITAL FPO/UNITS STAPLED,CNI,2841831,830091925,.34235136
CENTURIA I REIT ORDINARY UNITS,CIP,10280654,634930635,1.6191775
CENTURIA OFFICE REIT ORDINARY UNITS,COF,10587747,597336931,1.77249161
CETTIRE ORDINARY,CTT,21568974,381238220,5.65761061
CHALICE MINING LTD ORDINARY,CHN,15112930,389026788,3.88480446
CHALLENGER LIMITED ORDINARY,CGF,1273670,691395691,.18421723
CHAMPION IRON LTD ORDINARY,CIA,26206936,533251001,4.91455918
CHARTER HALL GROUP STAPLED US PROHIBIT.,CHC,3536711,472997199,.74772346
CHARTER HALL RETAIL ORDINARY UNITS,CQR,2780665,581229609,.47841076
CHARTER HALL SOC IN ORDINARY UNITS,CQE,283242,371108757,.07632318
CHORUS LIMITED ORD FOR.EXEMPT NZX,CNU,4098713,433887294,.94464923
CHRYSOSCORPLTD ORDINARY,C79,573587,116311297,.49314814
CHTR H LWR UNITS STAPLED,CLW,7770295,710170889,1.0941444
CITY CHIC COLLECTIVE ORDINARY,CCX,598515,385157793,.15539475
CLARITY PHARMA ORDINARY,CU6,31228057,323408731,9.65591031
CLEAN TEQ WATER ORDINARY,CNQ,569428,72242303,.78821961
CLEANAWAY WASTE LTD ORDINARY,CWY,12875252,2231991740,.57685034
CLEARVUE TECHNOLOGIE ORDINARY,CPV,243908,278625167,.08753983
CLINUVEL PHARMACEUT. ORDINARY,CUV,2706497,50123630,5.39964284
CLOVER CORPORATION ORDINARY,CLV,73,166999341,.00004371
COAST ENTERTAINMENT ORDINARY,CEH,2396083,397545363,.60271939
COBRAM ESTATE OLIVES ORDINARY,CBO,359014,418943611,.08569507
COCHLEAR LIMITED ORDINARY,COH,1383277,65397004,2.11519934
CODAN LIMITED ORDINARY,CDA,252400,181570842,.1390091
COLES GROUP ORDINARY,COL,3398818,1341305477,.25339627
