Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
AUST VANADIUM LTD ORDINARY,AVL,1739907,8634658076,.02015027
AUSTAL LIMITED ORDINARY,ASB,3561455,362489162,.98249972
AUSTIN ENGINEERING ORDINARY,ANG,8755,620145099,.00141177
AUSTRALIAN AGRICULT. ORDINARY,AAC,910322,602766747,.15102393
AUSTRALIAN COMM.LOAN 2.50% LN 21-05-30,XCLWAY,130200,379000000,.03435356
AUSTRALIAN COMM.LOAN 3.25 LN 31-JUN-39,XCLWAP,61800,108000000,.05722222
AUSTRALIAN COMM.LOAN 3.50% LN 21-DEC-34,XCLWBN,20000,216000000,.00925926
AUSTRALIAN ETHICAL ORDINARY,AEF,1014272,112782052,.8993204
AUSTRARE ORDINARY,AR3,78565,158636662,.04952512
AUSWIDE BANK LTD ORDINARY,ABA,24290,51800677,.04689128
AUTOSPORTS GRP LTD. ORDINARY,ASG,147250,202436781,.07273876
AVITA MEDICAL CDI 5:1,AVH,150598,69877040,.21551857
BABY BUNTING GRP LTD ORDINARY,BBN,2284025,134919963,1.69287402
BANK OF QUEENSLAND. ORDINARY,BOQ,26676601,661469455,4.03293014
BANNERMAN ENERGY LTD ORDINARY,BMN,3144402,178613558,1.76044979
BAPCOR LIMITED ORDINARY,BAP,13198373,339412500,3.88859367
BCI MINERALS LTD ORDINARY,BCI,71787,2885691046,.00248769
BEACH ENERGY LIMITED ORDINARY,BPT,37776070,2281333656,1.65587659
BEACON LIGHTING GRP ORDINARY,BLX,1695046,227736338,.74430195
BEACON MINERALS ORDINARY,BCN,11483391,4226364192,.27170851
BEGA CHEESE LTD ORDINARY,BGA,1911701,304963014,.62686323
BELLEVUE GOLD LTD ORDINARY,BGL,85732477,1279998987,6.69785507
BENDIGO AND ADELAIDE ORDINARY,BEN,11966459,567968292,2.10688857
BETA AUS COMP BOND ETF UNITS,OZBD,3680,10256039,.0358813
BETA SP500 EQUAL ETF ETF UNITS,QUS,16348,11515276,.14196794
BETAAUSGOVBONDETF ETF UNITS,AGVT,1145,16275294,.0070352
BETASHARES ASX RES ETF UNITS,QRE,7980,35702888,.02235113
BETMAKERS TECH GROUP ORDINARY,BET,30459599,970114394,3.13979456
BHP GROUP LIMITED ORDINARY,BHP,16840642,5073901188,.33190717
BIGTINCAN HLDGS LTD ORDINARY,BTH,2824621,821675934,.34376338
BIOME AUSTRALIA LTD ORDINARY,BIO,79343,219122305,.03620946
BISALLOY STEEL ORDINARY,BIS,22988,47903601,.04798804
BLACK CAT SYNDICATE ORDINARY,BC8,2090866,545917420,.38300042
BLACKSTONE LTD ORDINARY,BSX,1278375,530859870,.24081214
BLOCK CDI 1:1 NYSE,SQ2,952989,48600546,1.96086069
BLUESCOPE STEEL LTD ORDINARY,BSL,12340735,438609849,2.81360189
BOAB METALS LTD ORDINARY,BML,1,233395106,.00000043
BOSS ENERGY LTD ORDINARY,BOE,62604516,409688058,15.28102047
BOTANIX PHARMA LTD ORDINARY,BOT,34962,1817460431,.00192367
