Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,24910,294491837,.00845864
4DS MEMORY LIMITED ORDINARY,4DS,554651,1479765442,.03748236
5EADVANCED CDI 10:1,5EA,1135354,282587930,.40177017
29METALSLIMITED ORDINARY,29M,26529608,481356099,5.51143074
88 ENERGY LTD ORDINARY,88E,20998093,18265762962,.11495875
92ENERGY ORDINARY,92E,676314,86648696,.78052415
A-CAP ENERGY LTD ORDINARY,ACB,491623,1232435086,.03989038
A2B AUSTRALIA LTD ORDINARY,A2B,867590,121230683,.71565216
ABACUS PROPERTY GRP. FPO/UNITS STAPLED,ABP,3182597,893657633,.35613157
ACCENT GROUP LTD ORDINARY,AX1,4244798,552459958,.76834492
ACTINOGEN MEDICAL ORDINARY,ACW,1309711,1806252150,.07250987
ADAIRS LIMITED ORDINARY,ADH,6732132,171316433,3.92964754
ADBRI LIMITED ORDINARY,ABC,18190770,652627555,2.78731259
ADORE BEAUTY ORDINARY,ABY,1729180,94124497,1.83712004
ADRIATIC METALS CDI 1:1,ADT,645956,217418883,.29710207
ADVANCED HEALTH ORDINARY,AHI,35608,196053969,.01816235
AERIS RESOURCES LTD ORDINARY,AIS,3908733,690945595,.56570778
AGL ENERGY LIMITED. ORDINARY,AGL,19626397,672747233,2.91735083
AIC MINES LTD ORDINARY,A1M,15088,388631248,.00388234
AIR NEW ZEALAND ORD FOR. EXEMPT NZX,AIZ,374939,3368464315,.01113086
AIRTASKER LIMITED ORDINARY,ART,102835,449497214,.02287778
ALCIDION GROUP LTD ORDINARY,ALC,1826560,1268069053,.14404263
ALKANE RESOURCES LTD ORDINARY,ALK,108628,598792592,.01814117
ALLIANCE AVIATION ORDINARY,AQZ,149783,160734697,.09318648
ALLIGATOR ENERGY ORDINARY,AGE,40604585,3303266652,1.22922517
ALLKEM LIMITED ORDINARY,AKE,4692782,637658086,.73594017
ALPHA HPA LTD ORDINARY,A4N,3580553,857219604,.41769378
ALS LTD ORDINARY,ALQ,5747855,484167684,1.18716205
ALTECH BATT LTD ORDINARY,ATC,488817,1426765869,.03426049
ALTERITY THERAP LTD ORDINARY,ATH,99150,2416418418,.00410318
ALTIUM LIMITED ORDINARY,ALU,835862,131647099,.63492626
ALUMINA LIMITED ORDINARY,AWC,150514430,2901681417,5.18714526
AMA GROUP LIMITED ORDINARY,AMA,62631444,1073070217,5.8366585
AMCOR PLC CDI1:1FOREXEMPT NYSE,AMC,10081842,657467999,1.53343463
AMERICAN RARE EARTHS ORDINARY,ARR,18360,446380799,.00411308
AMP LIMITED ORDINARY,AMP,42687496,3057080141,1.39634861
AMPOL LIMITED ORDINARY,ALD,896058,238302099,.37601767
ANDROMEDA METALS LTD ORDINARY,ADN,10652331,3110008432,.34251775
ANSELL LIMITED ORDINARY,ANN,3175139,127168118,2.49680427
ANTEOTECH LTD ORDINARY,ADO,1287378,1988446230,.06474291
ANTIPA MINERALS LTD ORDINARY,AZY,1553666,3593040870,.04324098
ANZ GROUP HOLDINGS DEFERRED SETTLEMENT,ANZDA,7837818,2993302382,.26184518
ANZ GROUP HOLDINGS ORDINARY,ANZ,1985962,2993302382,.06634686
APA GROUP UNITS STAPLED,APA,9571298,1179893848,.81119992
APM HUMAN SERVICES ORDINARY,APM,11265575,917181946,1.22828137
APPEN LIMITED ORDINARY,APX,4038948,123446356,3.2718244
ARAFURA RARE EARTHS ORDINARY,ARU,1347634,1986656078,.06783429
ARB CORPORATION. ORDINARY,ARB,4822345,81971722,5.88293729
ARCHER MATERIALS ORDINARY,AXE,681522,248967207,.27373967
ARCHTIS LIMITED ORDINARY,AR9,125,283956100,.00004402
ARDENTLEISUREGRPLTD ORDINARY,ALG,5360328,479706016,1.11741938
ARENA REIT. FPO/UNITS STAPLED,ARF,3274489,348715426,.93901467
ARGOSY MINERALS LTD ORDINARY,AGY,16017523,1404407498,1.14051819
ARISTOCRAT LEISURE ORDINARY,ALL,1163244,657402014,.17694561
ARIZONA LITHIUM LTD ORDINARY,AZL,8034484,2442504639,.32894447
ASTON MINERALS LTD ORDINARY,ASO,1080766,1113530934,.09705756
ASX LIMITED ORDINARY,ASX,2766669,193595162,1.42910028
ATLAS ARTERIA FPOSTUSPROHEXCLQUP,ALX,8862224,1450833707,.61083665
ATOMOS ORDINARY,AMS,3364081,401821079,.83720869
AU CLINICAL LABS ORDINARY,ACL,9348818,201834015,4.63193382
AUB GROUP LTD ORDINARY,AUB,262924,101530518,.25896056
AUCKLAND INTERNATION ORD FOR.EXEMPT NZX,AIA,5799148,1472551137,.39381641
AUDINATEGROUPLTD ORDINARY,AD8,1167102,77443919,1.50702859
AURA ENERGY ORDINARY,AEE,2732470,512630887,.53302875
AURELIA METALS LTD ORDINARY,AMI,67143428,1237437216,5.42600684
AURIZON HOLDINGS LTD ORDINARY,AZJ,28533271,1840703982,1.55012817
AURORAENERGYMETALS ORDINARY,1AE,10000,120196927,.00831968
AUSGOV TREASURY BOND TB 0.25% 11-24 6M,GSBU24,1197400,413000000,.28992736
AUSGOV TREASURY BOND TB 0.25% 11-25 6M,GSBU25,1782700,387000000,.46064599
AUSGOV TREASURY BOND TB 1.00% 11-31 6M,GSBU31,1044630,418000000,.24991148
AUSGOV TREASURY BOND TB 1.25% 05-32 6M,GSBI32,496400,393000000,.12631043
AUSGOV TREASURY BOND TB 1.50% 06-31 6M,GSBK31,52960,381000000,.01390026
AUSGOV TREASURY BOND TB 1.75% 06-51 6M,GSBK51,87860,187000000,.04698396
AUSGOV TREASURY BOND TB 1.75% 11-32 6M,GSBU32,621900,278000000,.22370504
AUSGOV TREASURY BOND TB 2.50% 05-30 6M,GSBI30,293430,371000000,.07909164
AUSGOV TREASURY BOND TB 2.75% 04-24 6M,GSBG24,3701780,359000000,1.03113649
AUSGOV TREASURY BOND TB 2.75% 05-41 6M,GSBI41,399610,135000000,.29600741
AUSGOV TREASURY BOND TB 2.75% 06-35 6M,GSBK35,100000,95500000,.10471204
AUSGOV TREASURY BOND TB 2.75% 11-27 6M,GSBU27,136940,314000000,.04361146
AUSGOV TREASURY BOND TB 2.75% 11-28 6M,GSBU28,204950,341000000,.06010264
AUSGOV TREASURY BOND TB 2.75% 11-29 6M,GSBU29,95110,341000000,.0278915
AUSGOV TREASURY BOND TB 3.00% 11-33 6M,GSBU33,1174090,194000000,.60520103
AUSGOV TREASURY BOND TB 3.25% 06-39 6M,GSBK39,102000,103000000,.09902913
AUSGOV TREASURY BOND TB 3.75% 04-37 6M,GSBG37,99540,123000000,.08092683
AUSSIE BROADBAND ORDINARY,ABB,15562574,237665276,6.54810592
AUSSTRATMATERIALS ORDINARY,ASM,3521607,166705227,2.11247545
AUST FINANCE GRP ORDINARY,AFG,1634111,270258312,.60464782
AUST VANADIUM LTD ORDINARY,AVL,5182544,4343625217,.11931379
AUST VINTAGE LTD ORDINARY,AVG,800500,252638486,.31685592
AUSTAL LIMITED ORDINARY,ASB,1769395,362441875,.48818724
AUSTIN ENGINEERING ORDINARY,ANG,569745,583339584,.09766952
AUSTRALIAN AGRICULT. ORDINARY,AAC,2742521,602766747,.45498877
AUSTRALIAN ETHICAL ORDINARY,AEF,359032,112782052,.31834143
AUSTRALIAN UNITED IN ORDINARY,AUI,183,126181365,.00014503
AUSTRALRESOURCES ORDINARY,AR1,15657,323659537,.00483749
AUSTRARE ORDINARY,AR3,508372,95201552,.5339955
AUTECO MINERALS ORDINARY,AUT,4337613,2067836300,.20976578
AUTOSPORTS GRP LTD. ORDINARY,ASG,22905,201000000,.01139552
AVA RISK GROUP LTD ORDINARY,AVA,94949,255414634,.03717446
AVITA MEDICAL CDI 5:1,AVH,510732,74548085,.68510412
AVZ MINERALS LTD ORDINARY,AVZ,145800778,3528729748,4.13182047
AZURE MINERALS ORDINARY,AZS,1526841,312227881,.48901494
BABY BUNTING GRP LTD ORDINARY,BBN,1967692,134906489,1.45855994
BANK OF QUEENSLAND. ORDINARY,BOQ,32963309,652485010,5.05196418
BANNERMAN ENERGY LTD ORDINARY,BMN,2058791,150458795,1.36834208
BAPCOR LIMITED ORDINARY,BAP,8712499,339412500,2.56693522
BASE RES LIMITED ORDINARY,BSE,49365,1178011850,.00419054
BCI MINERALS LTD ORDINARY,BCI,117006,1211480407,.0096581
BEACH ENERGY LIMITED ORDINARY,BPT,26162997,2281333656,1.14682905
BEACON LIGHTING GRP ORDINARY,BLX,53046,223321406,.02375321
BEGA CHEESE LTD ORDINARY,BGA,10212102,303898577,3.36036519
BELL FINANCIAL GROUP ORDINARY,BFG,192415,320743948,.05999022
BELLEVUE GOLD LTD ORDINARY,BGL,36969199,1104670212,3.34662767
BENDIGO AND ADELAIDE ORDINARY,BEN,17058628,567462573,3.00612389
BERKELEY ENERGIA LTD ORDINARY,BKY,86723,445796715,.01945349
BEST & LESS ORDINARY,BST,121810,125366930,.09716278
BETA ELECTRIC V ETF ETF UNITS,DRIV,440,1370739,.03209947
BETASHARESCASHETF ETF UNITS,AAA,1018,47927743,.00212403
BETMAKERS TECH GROUP ORDINARY,BET,122678904,942052401,13.02251381
BHP GROUP LIMITED ORDINARY,BHP,9614650,5065820556,.18979452
BIG RIV INDUST LTD ORDINARY,BRI,10000,83014871,.01204603
BIGTINCAN HLDGS LTD ORDINARY,BTH,2907834,602350155,.48274811
BLACK ROCK MINING ORDINARY,BKT,2795412,982644034,.2844786
BLACKMORES LIMITED ORDINARY,BKL,540018,19448507,2.7766553
BLACKSTONE LTD ORDINARY,BSX,2393097,473385141,.50552854
BLOCK CDI 1:1 NYSE,SQ2,671625,32249277,2.08260483
BLUEBET HOLDINGS LTD ORDINARY,BBT,22159,200201228,.01106836
BLUESCOPE STEEL LTD ORDINARY,BSL,3977868,463990854,.85731604
BLUGLASS LIMITED ORDINARY,BLG,1035511,1339551696,.0773028
BOOKTOPIA GROUP ORDINARY,BKG,1726,137359299,.00125656
BORAL LIMITED. ORDINARY,BLD,56246837,1103088419,5.0990325
BOSS ENERGY LTD ORDINARY,BOE,11522923,352578862,3.26818316
BOWEN COAL LIMITED ORDINARY,BCB,6675064,1830856846,.36458689
BRAINCHIP LTD ORDINARY,BRN,107078459,1726862144,6.20075316
BRAMBLES LIMITED ORDINARY,BXB,4744845,1388761972,.34166006
BRAVURA SOLUTION LTD ORDINARY,BVS,2194722,248354002,.88370712
BREAKER RES NL ORDINARY,BRB,483391,326144500,.14821375
BREVILLE GROUP LTD ORDINARY,BRG,10990322,142781365,7.6973084
BRICKWORKS LIMITED ORDINARY,BKW,618182,152244695,.40604502
BUBS AUST LTD ORDINARY,BUB,15095439,751357408,2.009089
BULLETIN RES LTD ORDINARY,BNR,149656,292591100,.05114851
BURU ENERGY ORDINARY,BRU,155083,596043085,.02601876
BWP TRUST ORDINARY UNITS,BWP,14340847,642383803,2.23244218
BWX LIMITED ORDINARY,BWX,5557787,199987502,2.77906716
CALIDUS RESOURCES ORDINARY,CAI,2058966,437931705,.47015687
CALIX LIMITED ORDINARY,CXL,8022351,180450691,4.44573027
CAMPLIFYHOLDINGS ORDINARY,CHL,96152,57673004,.16671925
CANN GROUP LTD ORDINARY,CAN,5891,386684865,.00152346
CAPITOL HEALTH ORDINARY,CAJ,480000,1063522538,.04513304
CAPRICORN METALS ORDINARY,CMM,5481714,374683175,1.46302646
CARAVEL MINERALS LTD ORDINARY,CVV,794506,478684373,.16597701
CARBON REVOLUTION ORDINARY,CBR,723438,210325586,.34396101
CARDNO LIMITED ORDINARY,CDD,1,39060663,.00000256
CARNARVON ENERGY LTD ORDINARY,CVN,23816378,1800186904,1.32299474
