Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,140328,346580003,.04048935
4DS MEMORY LIMITED ORDINARY,4DS,704906,1749084918,.04030142
5EADVANCED CDI 10:1,5EA,456528,307660170,.1483871
29METALSLIMITED ORDINARY,29M,23136044,701315330,3.29895027
88 ENERGY LTD ORDINARY,88E,6580151,22118655043,.02974933
A2B AUSTRALIA LTD ORDINARY,A2B,524176,122285271,.42865015
ABACUS GROUP FPO/UNITS STAPLED,ABG,3423960,893657633,.38314002
ABACUS STORAGE KING FPO/UNITS STAPLED,ASK,548373,1314102962,.04172984
ACCENT GROUP LTD ORDINARY,AX1,3799690,563053196,.67483677
ACTINOGEN MEDICAL ORDINARY,ACW,1070,2307310088,.00004637
ADAIRS LIMITED ORDINARY,ADH,4653044,173050982,2.68882843
ADBRI LIMITED ORDINARY,ABC,8828123,653329543,1.35125116
ADORE BEAUTY ORDINARY,ABY,2028158,93907372,2.15974311
ADRIATIC METALS CDI 1:1,ADT,1461885,240993730,.60660707
AERIS RESOURCES LTD ORDINARY,AIS,2920488,897756700,.32530952
AGL ENERGY LIMITED. ORDINARY,AGL,35017244,672747233,5.20511156
AIR NEW ZEALAND ORD FOR. EXEMPT NZX,AIZ,382363,3368464315,.01135126
AIRTASKER LIMITED ORDINARY,ART,240879,451777937,.05331801
ALCIDION GROUP LTD ORDINARY,ALC,2394829,1337433279,.17906157
ALKANE RESOURCES LTD ORDINARY,ALK,160547,603437317,.02660541
ALLIGATOR ENERGY ORDINARY,AGE,14785317,3862309002,.38281031
ALLKEM LIMITED ORDINARY,AKE,8447697,639321293,1.32135393
ALPHA HPA LTD ORDINARY,A4N,17627481,933799090,1.88771666
ALS LTD ORDINARY,ALQ,5251075,484167684,1.0845571
ALTECH BATT LTD ORDINARY,ATC,4234141,1653325887,.25609839
ALTIUM LIMITED ORDINARY,ALU,437229,131926838,.33141778
ALUMINA LIMITED ORDINARY,AWC,118041942,2901681417,4.06805314
AMA GROUP LIMITED ORDINARY,AMA,16616251,1806403551,.91985265
AMCOR PLC CDI1:1FOREXEMPT NYSE,AMC,9388946,641071337,1.46457117
AMERICAN RARE EARTHS ORDINARY,ARR,5035,446423299,.00112785
AMP LIMITED ORDINARY,AMP,73282367,2750784831,2.66405304
AMPOL LIMITED ORDINARY,ALD,4111644,238302099,1.72539143
ANDROMEDA METALS LTD ORDINARY,ADN,68220553,3110008432,2.19358097
ANSELL LIMITED ORDINARY,ANN,2937775,125390219,2.34290603
ANSON RESOURCES LTD ORDINARY,ASN,25369052,1285739169,1.9731103
ANZ GROUP HOLDINGS ORDINARY,ANZ,18881672,3005286886,.62828185
APA GROUP UNITS STAPLED,APA,12884002,1282957939,1.00424196
APM HUMAN SERVICES ORDINARY,APM,22609129,917181946,2.46506477
APPEN LIMITED ORDINARY,APX,13801953,179917862,7.67125223
ARAFURA RARE EARTHS ORDINARY,ARU,117601177,2113364692,5.56464189
ARB CORPORATION. ORDINARY,ARB,3315874,82220441,4.0329071
ARCHER MATERIALS ORDINARY,AXE,576532,254847013,.2262267
ARDENTLEISUREGRPLTD ORDINARY,ALG,5703829,479706016,1.18902595
ARENA REIT. FPO/UNITS STAPLED,ARF,1505224,353879820,.42534892
ARGOSY MINERALS LTD ORDINARY,AGY,58802543,1404407498,4.18700008
ARISTOCRAT LEISURE ORDINARY,ALL,1875720,648560092,.28921298
ARIZONA LITHIUM LTD ORDINARY,AZL,13012498,3344514407,.38906987
ARN MEDIA LIMITED ORDINARY,A1N,6592429,305488183,2.15799804
ARTICORE GROUP LTD ORDINARY,ATG,1791805,282720223,.6337732
ASPEN GROUP FPO/UNITS STAPLED,APZ,18839,180230053,.01045275
ASTON MINERALS LTD ORDINARY,ASO,743967,1295064269,.05744634
ASX LIMITED ORDINARY,ASX,4031093,193595162,2.08222817
ATLAS ARTERIA FPOSTUSPROHEXCLQUP,ALX,16784481,1450833707,1.15688524
ATOMOS ORDINARY,AMS,3894204,401821079,.9691388
AU CLINICAL LABS ORDINARY,ACL,14578696,201834015,7.22311153
AUB GROUP LTD ORDINARY,AUB,330783,108405620,.30513455
AUCKLAND INTERNATION ORD FOR.EXEMPT NZX,AIA,3180449,1472551137,.21598224
AUDINATEGROUPLTD ORDINARY,AD8,182822,83108836,.21997902
AUDIO PIXELS LTD ORDINARY,AKP,457,29210100,.00156453
AURA ENERGY ORDINARY,AEE,2175293,579067090,.37565474
AURELIA METALS LTD ORDINARY,AMI,7623743,1689767404,.45117115
AURIZON HOLDINGS LTD ORDINARY,AZJ,45235393,1840703982,2.45750503
AUSGOV TREASURY BOND TB 0.25% 11-25 6M,GSBU25,13970,392000000,.00356378
AUSGOV TREASURY BOND TB 1.00% 12-30 6M,GSBW30,23400,387000000,.00604651
AUSGOV TREASURY BOND TB 1.25% 05-32 6M,GSBI32,79690,393000000,.02027735
AUSGOV TREASURY BOND TB 1.75% 06-51 6M,GSBK51,197700,196000000,.10086735
AUSGOV TREASURY BOND TB 1.75% 11-32 6M,GSBU32,2500,290000000,.00086207
AUSGOV TREASURY BOND TB 2.50% 05-30 6M,GSBI30,6930,371000000,.00186792
AUSGOV TREASURY BOND TB 2.75% 04-24 6M,GSBG24,250000,359000000,.06963788
AUSGOV TREASURY BOND TB 2.75% 05-41 6M,GSBI41,94740,143000000,.06625175
AUSGOV TREASURY BOND TB 2.75% 06-35 6M,GSBK35,114790,154500000,.07429773
AUSGOV TREASURY BOND TB 2.75% 11-28 6M,GSBU28,100000,348000000,.02873563
AUSGOV TREASURY BOND TB 2.75% 11-29 6M,GSBU29,45930,347000000,.01323631
AUSGOV TREASURY BOND TB 3.00% 11-33 6M,GSBU33,649150,225000000,.28851111
AUSGOV TREASURY BOND TB 3.25% 06-39 6M,GSBK39,182220,103000000,.17691262
AUSGOV TREASURY BOND TB 3.50% 12-34 6M,GSBW34,6360,178000000,.00357303
AUSGOV TREASURY BOND TB 3.75% 04-37 6M,GSBG37,52090,130000000,.04006923
AUSGOV TREASURY BOND TB 3.75% 05-34 6M,GSBI34,112280,188000000,.0597234
AUSSIE BROADBAND ORDINARY,ABB,3020773,278651922,1.08406681
AUSSTRATMATERIALS ORDINARY,ASM,6404124,166791982,3.83958744
AUST FINANCE GRP ORDINARY,AFG,4401440,270769045,1.62553293
AUST VANADIUM LTD ORDINARY,AVL,26898934,4968606780,.5413778
AUST VINTAGE LTD ORDINARY,AVG,103667,252638486,.04103373
AUSTAL LIMITED ORDINARY,ASB,1806149,362441875,.4983279
AUSTIN ENGINEERING ORDINARY,ANG,780926,586401879,.13317249
