Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,68835,410526163,.01676751
4DS MEMORY LIMITED ORDINARY,4DS,967442,1763434918,.05486123
5EADVANCED CDI 10:1,5EA,533496,330737550,.16130494
29METALSLIMITED ORDINARY,29M,24957851,701862508,3.55594589
88 ENERGY LTD ORDINARY,88E,6580151,28892671952,.02277446
ABACUS GROUP FPO/UNITS STAPLED,ABG,5135840,893657633,.57469883
ABACUS STORAGE KING FPO/UNITS STAPLED,ASK,482198,1314102962,.03669408
ACCENT GROUP LTD ORDINARY,AX1,18188504,563053196,3.23033492
ACTINOGEN MEDICAL ORDINARY,ACW,186,2707655432,.00000687
ACUSENSUS LIMITED. ORDINARY,ACE,30241,126411097,.02392274
ADAIRS LIMITED ORDINARY,ADH,1884836,174682776,1.07900506
ADORE BEAUTY ORDINARY,ABY,335937,93957928,.35753981
ADRIATIC METALS CDI 1:1,ADT,7338914,280642803,2.61503731
ADVANCED HEALTH ORDINARY,AHI,20052,247099678,.00811494
AERIS RESOURCES LTD ORDINARY,AIS,11445757,967525540,1.18299275
AGL ENERGY LIMITED. ORDINARY,AGL,22816754,672747233,3.39157902
AGUIA RES LTD ORDINARY,AGR,200000,1083027028,.01846676
AIC MINES LTD ORDINARY,A1M,455599,570878324,.07980667
AINSWORTH GAME TECH. ORDINARY,AGI,196145,336793929,.05823888
AIR NEW ZEALAND ORD FOR. EXEMPT NZX,AIZ,7691316,3368464315,.22833301
ALCIDION GROUP LTD ORDINARY,ALC,144932,1342473221,.0107959
ALCOA CORPORATION FOR EXEMPT DEF SET,AAI,582285,78939432,.73763515
ALICE QUEEN LTD ORDINARY,AQX,8359,1146890068,.00072884
ALKANE RESOURCES LTD ORDINARY,ALK,10796176,603490487,1.78895546
ALLIANCE AVIATION ORDINARY,AQZ,3027,160734697,.00188323
ALLIGATOR ENERGY ORDINARY,AGE,20748561,3869787820,.53616792
ALPHA HPA LTD ORDINARY,A4N,21624998,1134580693,1.9059903
ALS LTD ORDINARY,ALQ,5214222,484572851,1.07604501
ALTECH BATT LTD ORDINARY,ATC,802586,1710571924,.04691916
ALTERITY THERAP LTD ORDINARY,ATH,1628842,5320336118,.0306154
ALTIUM LIMITED ORDINARY,ALU,776752,131926838,.58877482
ALUMINA LIMITED ORDINARY,AWC,7650920,2901681417,.26367195
AMA GROUP LIMITED ORDINARY,AMA,38447643,3804299699,1.01063654
AMAERO INTERNATIONAL ORDINARY,3DA,537463,543083979,.09896499
AMCOR PLC CDI1:1FOREXEMPT NYSE,AMC,8979196,598450941,1.50040636
AMERICAN RARE EARTHS ORDINARY,ARR,363332,494423299,.07348602
AMERICANWESTMETALS ORDINARY,AW1,16536,517676969,.00319427
AMOTIV ORDINARY,AOV,1012422,140894696,.71856644
AMP LIMITED ORDINARY,AMP,28085891,2596915230,1.08150973
AMPOL LIMITED ORDINARY,ALD,4655944,238302099,1.95379899
ANDROMEDA METALS LTD ORDINARY,ADN,1001460,3110270932,.03219848
ANSELL LIMITED ORDINARY,ANN,3382248,145943984,2.31749738
ANSON RESOURCES LTD ORDINARY,ASN,2950435,1290528206,.22862228
ANTEOTECH LTD ORDINARY,ADO,420,2468287352,.00001702
ANTIPA MINERALS LTD ORDINARY,AZY,1846968,4710049428,.03921335
ANZ GROUP HOLDINGS ORDINARY,ANZ,15956069,3009165726,.53024893
APA GROUP UNITS STAPLED,APA,24272802,1283352928,1.89135829
APM HUMAN SERVICES ORDINARY,APM,6099084,917181946,.66498082
APPEN LIMITED ORDINARY,APX,7085419,223001643,3.17729453
ARAFURA RARE EARTHS ORDINARY,ARU,108851193,2310302192,4.7115565
ARB CORPORATION. ORDINARY,ARB,2256517,82332195,2.7407468
ARCADIUM LITHIUM PLC CDI1:1FOREXEMPT NYSE,LTM,6574733,370357597,1.77523913
ARCHER MATERIALS ORDINARY,AXE,65024,254847013,.02551492
ARDEA RESOURCES LTD ORDINARY,ARL,10801,199682915,.00540908
ARENA REIT. FPO/UNITS STAPLED,ARF,968193,388015629,.24952423
ARGENT BIOPHARMA LTD ORDINARY,RGT,16,48405602,.00003305
ARGOSY MINERALS LTD ORDINARY,AGY,28943316,1455920934,1.98797306
ARISTOCRAT LEISURE ORDINARY,ALL,2656113,631098763,.42087121
ARIZONA LITHIUM LTD ORDINARY,AZL,3214977,4473814528,.0718621
ARN MEDIA LIMITED ORDINARY,A1N,3104949,313050373,.99183686
AROA BIOSURGERY ORDINARY,ARX,599096,344207834,.17405066
ARTICORE GROUP LTD ORDINARY,ATG,1188079,281972143,.42134623
ASARA RESOURCES LTD ORDINARY,AS1,11239,882175350,.00127401
ASKARIMETALSLIMITED ORDINARY,AS2,1510,97690891,.00154569
ASPEN GROUP FPO/UNITS STAPLED,APZ,16428,199228536,.00824581
ASTON MINERALS LTD ORDINARY,ASO,507128,1295064269,.03915852
ASX LIMITED ORDINARY,ASX,3968529,193887876,2.04681648
ATLAS ARTERIA FPOSTUSPROHEXCLQUP,ALX,16657234,1450833707,1.14811463
ATLAS PEARLS LTD ORDINARY,ATP,55600,435191973,.01277597
ATOMOS ORDINARY,AMS,2558911,1213662308,.21084209
AU CLINICAL LABS ORDINARY,ACL,3947494,201834015,1.95581206
AUB GROUP LTD ORDINARY,AUB,1532140,116587434,1.31415535
AUCKLAND INTERNATION ORD FOR.EXEMPT NZX,AIA,6487704,1480233741,.43828916
AUDINATEGROUPLTD ORDINARY,AD8,2019101,83108836,2.4294661
AURA ENERGY ORDINARY,AEE,1401231,766633367,.1827772
AURELIA METALS LTD ORDINARY,AMI,5131403,1691564582,.30335247
AURIZON HOLDINGS LTD ORDINARY,AZJ,66422015,1840703982,3.60851151
AURUMRESOURCES ORDINARY,AUE,341587,116089684,.29424406
AUSGOV TREASURY BOND TB 0.25% 11-25 6M,GSBU25,234480,392000000,.05981633
AUSGOV TREASURY BOND TB 0.50% 09-26 6M,GSBQ26,66590,394000000,.01690102
AUSGOV TREASURY BOND TB 1.00% 11-31 6M,GSBU31,56670,418000000,.01355742
AUSGOV TREASURY BOND TB 1.00% 12-30 6M,GSBW30,8010,395000000,.00202785
AUSGOV TREASURY BOND TB 1.50% 06-31 6M,GSBK31,106410,394000000,.02700761
AUSGOV TREASURY BOND TB 1.75% 06-51 6M,GSBK51,18090,199000000,.00909045
AUSGOV TREASURY BOND TB 2.25% 05-28 6M,GSBI28,547290,334000000,.16385928
AUSGOV TREASURY BOND TB 2.50% 05-30 6M,GSBI30,33150,379000000,.0087467
AUSGOV TREASURY BOND TB 2.75% 11-27 6M,GSBU27,149690,329000000,.04549848
AUSGOV TREASURY BOND TB 2.75% 11-29 6M,GSBU29,478010,370000000,.12919189
AUSGOV TREASURY BOND TB 3.00% 03-47 6M,GSBE47,4640,142000000,.00326761
AUSGOV TREASURY BOND TB 3.00% 11-33 6M,GSBU33,1554330,246000000,.63184146
AUSGOV TREASURY BOND TB 3.50% 12-34 6M,GSBW34,121500,192000000,.06328125
AUSGOV TREASURY BOND TB 3.75% 05-34 6M,GSBI34,504260,219000000,.23025571
AUSSIE BROADBAND ORDINARY,ABB,8187341,295518061,2.77050444
AUSSTRATMATERIALS ORDINARY,ASM,4901710,181133558,2.70613025
AUST FINANCE GRP ORDINARY,AFG,2157382,270769045,.79676094
AUST VANADIUM LTD ORDINARY,AVL,1739907,8616898241,.0201918
AUST VINTAGE LTD ORDINARY,AVG,229054,329462923,.06952345
AUSTAL LIMITED ORDINARY,ASB,700277,362489162,.19318564
AUSTIN ENGINEERING ORDINARY,ANG,43431,586555743,.00740441
AUSTRALIAN AGRICULT. ORDINARY,AAC,1668166,602766747,.2767515
AUSTRALIAN ETHICAL ORDINARY,AEF,1227537,112782052,1.0884152
AUSTRALIAN FOUNDAT. ORDINARY,AFI,20,1251570209,.0000016
AUSTRALIAN MINES LTD ORDINARY,AUZ,287011,1398512124,.0205226
AUSTRALIAN UNITY OFF ORDINARY,AOF,241537,164383437,.14693512
AUSTRARE ORDINARY,AR3,159790,155921890,.1024808
