Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,65909,410531163,.01605457
4DS MEMORY LIMITED ORDINARY,4DS,1084305,1763434918,.06148823
5EADVANCED CDI 10:1,5EA,69690,333511100,.02089586
29METALSLIMITED ORDINARY,29M,29997836,702074024,4.27274546
88 ENERGY LTD ORDINARY,88E,6580151,28933811952,.02274208
ABACUS GROUP FPO/UNITS STAPLED,ABG,2818543,893657633,.31539405
ABACUS STORAGE KING FPO/UNITS STAPLED,ASK,729256,1314102962,.05549459
ACCENT GROUP LTD ORDINARY,AX1,25627730,565998979,4.52787566
ACROW LIMITED ORDINARY,ACF,30391,301396067,.01008341
ACTINOGEN MEDICAL ORDINARY,ACW,186,2945001421,.00000632
ADAIRS LIMITED ORDINARY,ADH,2610104,174682776,1.49419654
ADORE BEAUTY ORDINARY,ABY,327810,93957928,.3488902
ADRIATIC METALS CDI 1:1,ADT,19327099,279924969,6.90438551
ADVANCED HEALTH ORDINARY,AHI,20052,247099678,.00811494
AERIS RESOURCES LTD ORDINARY,AIS,13301453,967525540,1.37479089
AGL ENERGY LIMITED. ORDINARY,AGL,21675535,672747233,3.22194339
AI-MEDIA TECHNOLOGIE ORDINARY,AIM,50000,208814047,.02394475
AIC MINES LTD ORDINARY,A1M,42149,575682640,.00732157
AINSWORTH GAME TECH. ORDINARY,AGI,208431,336793929,.0618868
AIR NEW ZEALAND ORD FOR. EXEMPT NZX,AIZ,3443294,3368464315,.10222148
AIRTASKER LIMITED ORDINARY,ART,14516,453260344,.00320257
ALCOA CORPORATION CDI 1:1 FOR. EXEMPT,AAI,478311,57252132,.83544662
ALKANE RESOURCES LTD ORDINARY,ALK,7546616,604579770,1.24824157
ALLIANCE AVIATION ORDINARY,AQZ,3027,160751712,.00188303
ALLIGATOR ENERGY ORDINARY,AGE,22983207,3873599345,.59332948
ALPHA HPA LTD ORDINARY,A4N,24358417,1134580693,2.14690918
ALS LTD ORDINARY,ALQ,6975055,484572851,1.4394234
ALTECH BATT LTD ORDINARY,ATC,544752,1883890588,.02891633
ALTERITY THERAP LTD ORDINARY,ATH,1628842,5320336118,.0306154
AMA GROUP LIMITED ORDINARY,AMA,26105267,4782595517,.5458389
AMAERO INTERNATIONAL ORDINARY,3DA,138781,599596067,.02314575
AMCOR PLC CDI1:1FOREXEMPT NYSE,AMC,7370599,608636076,1.21100265
AMERICAN RARE EARTHS ORDINARY,ARR,162943,494423299,.03295617
AMERICANWESTMETALS ORDINARY,AW1,690851,518186969,.1333208
AMOTIV ORDINARY,AOV,2407285,140894696,1.70857035
AMP LIMITED ORDINARY,AMP,41108555,2551924184,1.61088465
AMPOL LIMITED ORDINARY,ALD,7413912,238302099,3.11114003
ANSELL LIMITED ORDINARY,ANN,2416181,145943984,1.65555368
ANSON RESOURCES LTD ORDINARY,ASN,6875651,1292128206,.53211833
ANTEOTECH LTD ORDINARY,ADO,420,2489770015,.00001687
ANTERIS TECHNOLOGIES ORDINARY,AVR,837,21139816,.00395935
ANTIPA MINERALS LTD ORDINARY,AZY,2500000,4768699428,.0524252
ANZ GROUP HOLDINGS ORDINARY,ANZ,15653328,2983072730,.5247384
APA GROUP UNITS STAPLED,APA,37117793,1294951714,2.86634572
APM HUMAN SERVICES ORDINARY,APM,5829907,917181946,.63563255
APPEN LIMITED ORDINARY,APX,6360616,223093989,2.85109251
ARAFURA RARE EARTHS ORDINARY,ARU,95911878,2464328691,3.89200833
ARB CORPORATION. ORDINARY,ARB,2894406,82332195,3.51552148
ARCADIUM LITHIUM PLC CDI1:1FOREXEMPT NYSE,LTM,8753039,349546393,2.50411367
ARENA REIT. FPO/UNITS STAPLED,ARF,2182177,395923210,.55116168
ARGO INVESTMENTS ORDINARY,ARG,12494,764097326,.00163513
ARGOSY MINERALS LTD ORDINARY,AGY,8072968,1455920934,.5544922
ARISTOCRAT LEISURE ORDINARY,ALL,2250639,629576199,.35748477
ARIZONA LITHIUM LTD ORDINARY,AZL,2798263,4473814528,.06254759
ARN MEDIA LIMITED ORDINARY,A1N,3252297,313050373,1.03890533
AROA BIOSURGERY ORDINARY,ARX,602216,344900256,.17460584
ARTICORE GROUP LTD ORDINARY,ATG,510167,286865671,.17784177
ASKARIMETALSLIMITED ORDINARY,AS2,1510,98070146,.00153971
ASTON MINERALS LTD ORDINARY,ASO,507128,1295064269,.03915852
ASTRAL RESOURCES NL ORDINARY,AAR,2469089,935197536,.26401791
ASX LIMITED ORDINARY,ASX,3972561,193887876,2.04889603
ATLAS ARTERIA FPOSTUSPROHEXCLQUP,ALX,17233074,1450833707,1.18780491
ATOMOS ORDINARY,AMS,1889499,1214959808,.15551947
AU CLINICAL LABS ORDINARY,ACL,1803780,201834015,.89369475
AUB GROUP LTD ORDINARY,AUB,3594890,116587434,3.08342836
AUCKLAND INTERNATION ORD FOR.EXEMPT NZX,AIA,5837770,1652895611,.35318443
AUDINATEGROUPLTD ORDINARY,AD8,3618935,83342014,4.34226967
AURA ENERGY ORDINARY,AEE,3613944,826462427,.43727868
AURELIA METALS LTD ORDINARY,AMI,3243458,1691564582,.19174308
AURIZON HOLDINGS LTD ORDINARY,AZJ,23244896,1840703982,1.26282641
AURORA LABS LIMITED ORDINARY,A3D,23400,367637652,.00636496
AUSGOLD LIMITED ORDINARY,AUC,10325,356281468,.00289799
AUSGOV TREASURY BOND TB 0.25% 11-25 6M,GSBU25,199440,392000000,.05087755
AUSGOV TREASURY BOND TB 0.50% 09-26 6M,GSBQ26,100000,394000000,.02538071
AUSGOV TREASURY BOND TB 1.00% 11-31 6M,GSBU31,52670,418000000,.01260048
AUSGOV TREASURY BOND TB 1.00% 12-30 6M,GSBW30,15650,395000000,.00396203
AUSGOV TREASURY BOND TB 1.50% 06-31 6M,GSBK31,5650,394000000,.00143401
AUSGOV TREASURY BOND TB 1.75% 06-51 6M,GSBK51,25990,199000000,.0130603
AUSGOV TREASURY BOND TB 2.50% 05-30 6M,GSBI30,26190,379000000,.00691029
AUSGOV TREASURY BOND TB 3.00% 03-47 6M,GSBE47,60350,142000000,.0425
AUSGOV TREASURY BOND TB 3.00% 11-33 6M,GSBU33,3190,254000000,.00125591
AUSGOV TREASURY BOND TB 3.25% 06-39 6M,GSBK39,69120,103000000,.0671068
AUSGOV TREASURY BOND TB 3.75% 05-34 6M,GSBI34,53170,235000000,.02262553
AUSSIE BROADBAND ORDINARY,ABB,6063872,295721047,2.05053785
AUSSTRATMATERIALS ORDINARY,ASM,1991973,181319636,1.09859751
AUST FINANCE GRP ORDINARY,AFG,1882286,270769045,.69516292
AUST VANADIUM LTD ORDINARY,AVL,1739907,8632524744,.02015525
AUSTAL LIMITED ORDINARY,ASB,1676679,362489162,.46254597
AUSTIN ENGINEERING ORDINARY,ANG,10174,619386500,.00164259
AUSTRALIAN AGRICULT. ORDINARY,AAC,1128664,602766747,.18724722
AUSTRALIAN ETHICAL ORDINARY,AEF,1320762,112782052,1.17107463
AUSTRALIAN MINES LTD ORDINARY,AUZ,201011,1398512124,.0143732
AUSTRARE ORDINARY,AR3,115632,157963745,.07320161
AUSWIDE BANK LTD ORDINARY,ABA,17061,51555706,.03309236
AUTOSPORTS GRP LTD. ORDINARY,ASG,88326,201000000,.04394328
AVITA MEDICAL CDI 5:1,AVH,161313,70422040,.22906607
BABY BUNTING GRP LTD ORDINARY,BBN,2317549,134906489,1.7178929
BANK OF QUEENSLAND. ORDINARY,BOQ,33428868,661469455,5.05372814
BANNERMAN ENERGY LTD ORDINARY,BMN,2407297,178604511,1.34783662
BAPCOR LIMITED ORDINARY,BAP,11625561,339412500,3.42520119
BCI MINERALS LTD ORDINARY,BCI,54473,2884590098,.00188841
BEACH ENERGY LIMITED ORDINARY,BPT,38023875,2281333656,1.66673888
BEACON LIGHTING GRP ORDINARY,BLX,1487118,227736338,.65299987
BEACON MINERALS ORDINARY,BCN,5500000,3756768171,.14640243
