Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,265870,391389665,.06792974
4DS MEMORY LIMITED ORDINARY,4DS,847610,1763434918,.04806585
5EADVANCED CDI 10:1,5EA,455785,331819520,.13735931
29METALSLIMITED ORDINARY,29M,23941925,701862508,3.41119874
88 ENERGY LTD ORDINARY,88E,6580151,28892671952,.02277446
ABACUS GROUP FPO/UNITS STAPLED,ABG,4435109,893657633,.49628726
ABACUS STORAGE KING FPO/UNITS STAPLED,ASK,2157527,1314102962,.16418249
ACCENT GROUP LTD ORDINARY,AX1,11087363,563053196,1.96915018
ACROW LIMITED ORDINARY,ACF,1317,301276067,.00043714
ACTINOGEN MEDICAL ORDINARY,ACW,132,2682049308,.00000492
ACUSENSUS LIMITED. ORDINARY,ACE,79125,126411097,.0625934
ADAIRS LIMITED ORDINARY,ADH,1394289,174682776,.79818345
ADBRI LIMITED ORDINARY,ABC,134530,654243396,.02056268
ADORE BEAUTY ORDINARY,ABY,46404,93957928,.04938806
ADRIATIC METALS CDI 1:1,ADT,1825336,277761722,.65715894
ADVANCED HEALTH ORDINARY,AHI,20052,245653382,.00816272
AERIS RESOURCES LTD ORDINARY,AIS,6543845,967525540,.67634855
AGL ENERGY LIMITED. ORDINARY,AGL,22750554,672747233,3.38173877
AIC MINES LTD ORDINARY,A1M,455599,570878324,.07980667
AINSWORTH GAME TECH. ORDINARY,AGI,206695,336793929,.06137136
AIR NEW ZEALAND ORD FOR. EXEMPT NZX,AIZ,8606705,3368464315,.25550827
AIRTASKER LIMITED ORDINARY,ART,7976,452498075,.00176266
ALCIDION GROUP LTD ORDINARY,ALC,303830,1342473221,.02263211
ALICE QUEEN LTD ORDINARY,AQX,8359,690990068,.00120971
ALKANE RESOURCES LTD ORDINARY,ALK,3341643,603490487,.55371925
ALLIANCE AVIATION ORDINARY,AQZ,7966,160734697,.00495599
ALLIGATOR ENERGY ORDINARY,AGE,25738877,3868827907,.66528875
ALPHA HPA LTD ORDINARY,A4N,21697962,1004910201,2.15919412
ALS LTD ORDINARY,ALQ,6803377,484167684,1.40516958
ALTECH BATT LTD ORDINARY,ATC,2029871,1710571924,.11866622
ALTHEA GROUP ORDINARY,AGH,132706,405332442,.03274004
ALTIUM LIMITED ORDINARY,ALU,200771,131926838,.15218359
ALUMINA LIMITED ORDINARY,AWC,12598513,2901681417,.43417975
AMA GROUP LIMITED ORDINARY,AMA,23428245,1806403551,1.29695521
AMAERO INTERNATIONAL ORDINARY,3DA,614718,542206219,.11337347
AMCOR PLC CDI1:1FOREXEMPT NYSE,AMC,13510158,597599764,2.26073684
AMERICAN RARE EARTHS ORDINARY,ARR,652249,493423299,.13218853
AMERICANWESTMETALS ORDINARY,AW1,6454,517674469,.00124673
AMP LIMITED ORDINARY,AMP,35056906,2666442828,1.31474433
AMPOL LIMITED ORDINARY,ALD,2449802,238302099,1.02802368
ANDROMEDA METALS LTD ORDINARY,ADN,5903214,3110270932,.18979742
ANSELL LIMITED ORDINARY,ANN,2870010,145943984,1.96651477
ANSON RESOURCES LTD ORDINARY,ASN,16346209,1290528206,1.26662935
ANTEOTECH LTD ORDINARY,ADO,420,2468287352,.00001702
ANTIPA MINERALS LTD ORDINARY,AZY,3287500,4139549428,.07941686
ANZ GROUP HOLDINGS ORDINARY,ANZ,15328761,3007510678,.50968268
APA GROUP UNITS STAPLED,APA,21840146,1283352928,1.70180357
APM HUMAN SERVICES ORDINARY,APM,7681593,917181946,.83752117
APPEN LIMITED ORDINARY,APX,7019243,222426351,3.15576053
ARAFURA RARE EARTHS ORDINARY,ARU,161816805,2310302192,7.00414022
ARB CORPORATION. ORDINARY,ARB,2240261,82332195,2.7210024
ARCADIUM LITHIUM PLC CDI1:1FOREXEMPT NYSE,LTM,7206673,388181154,1.85652315
ARCHER MATERIALS ORDINARY,AXE,102190,254847013,.04009857
ARDEA RESOURCES LTD ORDINARY,ARL,17587,199562915,.00881276
ARENA REIT. FPO/UNITS STAPLED,ARF,2341441,356269597,.65721044
ARGENT BIOPHARMA LTD ORDINARY,RGT,16,45280202,.00003534
ARGO INVESTMENTS ORDINARY,ARG,81963,761242265,.01076701
ARGOSY MINERALS LTD ORDINARY,AGY,32748204,1455920934,2.24931198
ARISTOCRAT LEISURE ORDINARY,ALL,1867482,633527451,.29477523
ARIZONA LITHIUM LTD ORDINARY,AZL,3606897,4473814528,.08062241
ARN MEDIA LIMITED ORDINARY,A1N,3579532,313050373,1.14343643
AROA BIOSURGERY ORDINARY,ARX,640137,344207834,.18597398
ARTICORE GROUP LTD ORDINARY,ATG,1329896,282783288,.47028805
ASARA RESOURCES LTD ORDINARY,AS1,11239,882175350,.00127401
ASKARIMETALSLIMITED ORDINARY,AS2,1510,97690891,.00154569
ASPIRE MINING LTD ORDINARY,AKM,58684,507636985,.01156023
ASTON MINERALS LTD ORDINARY,ASO,739810,1295064269,.05712535
ASX LIMITED ORDINARY,ASX,4145283,193887876,2.13797948
ATLAS ARTERIA FPOSTUSPROHEXCLQUP,ALX,15578789,1450833707,1.07378185
ATLAS PEARLS LTD ORDINARY,ATP,5596,433622379,.00129052
ATOMOS ORDINARY,AMS,4802298,1213662308,.39568651
AU CLINICAL LABS ORDINARY,ACL,17019051,201834015,8.43220158
AUB GROUP LTD ORDINARY,AUB,1565954,115678348,1.35371401
AUCKLAND INTERNATION ORD FOR.EXEMPT NZX,AIA,6219237,1477299049,.420987
AUDINATEGROUPLTD ORDINARY,AD8,1658993,83108836,1.99616922
AURA ENERGY ORDINARY,AEE,566871,716679666,.07909684
AURELIA METALS LTD ORDINARY,AMI,4149590,1689767404,.24557167
AURIZON HOLDINGS LTD ORDINARY,AZJ,51864872,1840703982,2.81766501
AURUMRESOURCES ORDINARY,AUE,2000,91387878,.00218847
AUSGOV TREASURY BOND TB 0.25% 11-25 6M,GSBU25,205540,392000000,.05243367
AUSGOV TREASURY BOND TB 0.50% 09-26 6M,GSBQ26,100000,394000000,.02538071
AUSGOV TREASURY BOND TB 1.00% 12-30 6M,GSBW30,44810,395000000,.0113443
AUSGOV TREASURY BOND TB 1.50% 06-31 6M,GSBK31,96110,387000000,.02483463
AUSGOV TREASURY BOND TB 1.75% 06-51 6M,GSBK51,135020,196000000,.06888776
AUSGOV TREASURY BOND TB 2.25% 05-28 6M,GSBI28,519700,325000000,.15990769
AUSGOV TREASURY BOND TB 2.50% 05-30 6M,GSBI30,148500,379000000,.03918206
AUSGOV TREASURY BOND TB 2.75% 11-27 6M,GSBU27,63040,322000000,.01957764
AUSGOV TREASURY BOND TB 2.75% 11-29 6M,GSBU29,543870,362000000,.15024033
AUSGOV TREASURY BOND TB 3.00% 03-47 6M,GSBE47,100000,142000000,.07042254
AUSGOV TREASURY BOND TB 3.00% 11-33 6M,GSBU33,498790,241000000,.2069668
AUSGOV TREASURY BOND TB 3.25% 06-39 6M,GSBK39,53650,103000000,.05208738
AUSGOV TREASURY BOND TB 3.75% 04-37 6M,GSBG37,3940,138000000,.00285507
AUSGOV TREASURY BOND TB 3.75% 05-34 6M,GSBI34,38660,212000000,.01823585
AUSGOV TREASURY BOND TB 4.75% 06-54 6M,GSBK54,71790,83000000,.08649398
AUSSIE BROADBAND ORDINARY,ABB,8037977,295518061,2.71996134
AUSSTRATMATERIALS ORDINARY,ASM,3491216,181133558,1.92742639
AUST FINANCE GRP ORDINARY,AFG,3902384,270769045,1.44122235
AUST VANADIUM LTD ORDINARY,AVL,1739907,8610503149,.0202068
AUSTAL LIMITED ORDINARY,ASB,1087548,362441875,.30006135
AUSTIN ENGINEERING ORDINARY,ANG,4278,586555743,.00072934
AUSTRALIAN AGRICULT. ORDINARY,AAC,1513072,602766747,.25102115
AUSTRALIAN ETHICAL ORDINARY,AEF,869590,112782052,.7710358
AUSTRALIAN FOUNDAT. ORDINARY,AFI,20,1251570209,.0000016
AUSTRALIAN MINES LTD ORDINARY,AUZ,386826,1398512124,.02765982
AUSTRALIAN UNITY OFF ORDINARY,AOF,131761,164383437,.08015467
AUSTRARE ORDINARY,AR3,193898,155921890,.12435586
AUTOSPORTS GRP LTD. ORDINARY,ASG,188,201000000,.00009353
AVITA MEDICAL CDI 5:1,AVH,200483,66319710,.30229776
AVZ MINERALS LTD ORDINARY,AVZ,37143667,3528729748,1.0526073
BABY BUNTING GRP LTD ORDINARY,BBN,2837507,134906489,2.10331395
BANK OF QUEENSLAND. ORDINARY,BOQ,41424740,661469455,6.26253256
BANNERMAN ENERGY LTD ORDINARY,BMN,138282,152840770,.09047455
BAPCOR LIMITED ORDINARY,BAP,20699543,339412500,6.09863897
BASE RES LIMITED ORDINARY,BSE,6080497,1178011850,.51616603
BCI MINERALS LTD ORDINARY,BCI,54473,2884420990,.00188852
BEACH ENERGY LIMITED ORDINARY,BPT,67749821,2281333656,2.96974626
BEACON LIGHTING GRP ORDINARY,BLX,88820,226836751,.03915591
BEGA CHEESE LTD ORDINARY,BGA,3512596,304775519,1.15251908
BELLEVUE GOLD LTD ORDINARY,BGL,32380451,1177341851,2.75030153
BENDIGO AND ADELAIDE ORDINARY,BEN,15457178,567959030,2.72153046
BERKELEY ENERGIA LTD ORDINARY,BKY,700000,445796715,.15702224
BETASHARES ASX RES ETF UNITS,QRE,7980,31458330,.02536689
BETMAKERS TECH GROUP ORDINARY,BET,32793140,965114394,3.39785006
BHP GROUP LIMITED ORDINARY,BHP,17785011,5071530817,.35068329
BIGTINCAN HLDGS LTD ORDINARY,BTH,3020571,616253090,.49015105
BLACK CAT SYNDICATE ORDINARY,BC8,3488932,308553445,1.13073831
BLACKSTONE LTD ORDINARY,BSX,1059144,525321120,.20161839
BLOCK CDI 1:1 NYSE,SQ2,1067359,41940249,2.54495151
BLUEBET HOLDINGS LTD ORDINARY,BBT,18863,296344439,.00636523
BLUESCOPE STEEL LTD ORDINARY,BSL,11939494,441479849,2.70442559
BLUGLASS LIMITED ORDINARY,BLG,64763,1827108413,.00354456
BOAB METALS LTD ORDINARY,BML,1,233395106,.00000043
BORAL LIMITED. ORDINARY,BLD,1769257,1084555906,.16313193
BOSS ENERGY LTD ORDINARY,BOE,19971275,408940406,4.8836639
