Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,104077,294491837,.03534122
4DS MEMORY LIMITED ORDINARY,4DS,758113,1479765442,.05123197
5EADVANCED CDI 10:1,5EA,499106,281560980,.17726391
8I HOLDINGS LTD CDI 1:1,8IH,440,357355990,.00012313
29METALSLIMITED ORDINARY,29M,26838860,482052092,5.5676265
88 ENERGY LTD ORDINARY,88E,11653413,20107868225,.05795449
92ENERGY ORDINARY,92E,699565,86648696,.80735779
A-CAP ENERGY LTD ORDINARY,ACB,662259,1232435086,.05373581
A2B AUSTRALIA LTD ORDINARY,A2B,868042,121230683,.716025
ABACUS PROPERTY GRP. FPO/UNITS STAPLED,ABP,2551366,893657633,.28549703
ACCENT GROUP LTD ORDINARY,AX1,5245659,552459958,.94950936
ACTINOGEN MEDICAL ORDINARY,ACW,1115717,1806252150,.06176973
ADAIRS LIMITED ORDINARY,ADH,3805277,172146192,2.21049153
ADBRI LIMITED ORDINARY,ABC,17978910,652627555,2.75484997
ADORE BEAUTY ORDINARY,ABY,1662227,94124497,1.76598766
ADRIATIC METALS CDI 1:1,ADT,260799,220328634,.11836818
ADVANCED HEALTH ORDINARY,AHI,35608,196053969,.01816235
AERIS RESOURCES LTD ORDINARY,AIS,5325797,690945595,.77079831
AGL ENERGY LIMITED. ORDINARY,AGL,7992518,672747233,1.18804175
AIC MINES LTD ORDINARY,A1M,93636,451809925,.02072464
AIR NEW ZEALAND ORD FOR. EXEMPT NZX,AIZ,736340,3368464315,.02185981
AIRTASKER LIMITED ORDINARY,ART,161924,449561794,.03601819
ALCIDION GROUP LTD ORDINARY,ALC,1553202,1268069053,.1224856
ALKANE RESOURCES LTD ORDINARY,ALK,35282,598792592,.00589219
ALLIANCE AVIATION ORDINARY,AQZ,88260,160734697,.05491036
ALLIGATOR ENERGY ORDINARY,AGE,43424832,3304550761,1.31409184
ALLKEM LIMITED ORDINARY,AKE,10642282,637658086,1.6689637
ALPHA HPA LTD ORDINARY,A4N,2151171,857731079,.25079784
ALS LTD ORDINARY,ALQ,1272482,484167684,.26281845
ALTERITY THERAP LTD ORDINARY,ATH,138666,2416418418,.00573849
ALTIUM LIMITED ORDINARY,ALU,860270,131647099,.65346674
ALUMINA LIMITED ORDINARY,AWC,155831451,2901681417,5.37038457
AMA GROUP LIMITED ORDINARY,AMA,69923093,1073070217,6.51617125
AMCOR PLC CDI1:1FOREXEMPT NYSE,AMC,12211404,653457861,1.86873626
AMERICAN RARE EARTHS ORDINARY,ARR,29265,446380799,.00655606
AMP LIMITED ORDINARY,AMP,42580792,3043140026,1.39923867
AMPOL LIMITED ORDINARY,ALD,1706102,238302099,.71594082
ANDROMEDA METALS LTD ORDINARY,ADN,16694121,3110008432,.536787
ANSARADA GROUP LTD ORDINARY,AND,5,89335568,.0000056
ANSELL LIMITED ORDINARY,ANN,4127896,127168118,3.24601485
ANSON RESOURCES LTD ORDINARY,ASN,15948290,1218857086,1.30846267
ANTEOTECH LTD ORDINARY,ADO,1014998,1990042116,.05100385
ANTIPA MINERALS LTD ORDINARY,AZY,3322940,3593040870,.09248267
ANZ GROUP HOLDINGS ORDINARY,ANZ,13863125,3003366782,.46158615
APA GROUP UNITS STAPLED,APA,5376844,1179893848,.45570574
APM HUMAN SERVICES ORDINARY,APM,13106500,917181946,1.42899673
APPEN LIMITED ORDINARY,APX,4615281,124319061,3.71244841
ARAFURA RARE EARTHS ORDINARY,ARU,14143218,2113065824,.66932217
ARB CORPORATION. ORDINARY,ARB,5419999,81971722,6.61203506
ARCHER MATERIALS ORDINARY,AXE,477915,248967207,.19195902
ARCHTIS LIMITED ORDINARY,AR9,125,285384670,.0000438
ARDENTLEISUREGRPLTD ORDINARY,ALG,2855826,479706016,.59532837
ARENA REIT. FPO/UNITS STAPLED,ARF,2785780,349652027,.79672926
ARGOSY MINERALS LTD ORDINARY,AGY,17657560,1404407498,1.25729605
ARISTOCRAT LEISURE ORDINARY,ALL,2105788,655761726,.32112091
ARIZONA LITHIUM LTD ORDINARY,AZL,5502595,2442504639,.22528494
ASKARIMETALSLIMITED ORDINARY,AS2,43,49497529,.00008687
ASTON MINERALS LTD ORDINARY,ASO,1054647,1113530934,.09471196
ASX LIMITED ORDINARY,ASX,3102120,193595162,1.60237475
ATLAS ARTERIA FPOSTUSPROHEXCLQUP,ALX,12304018,1450833707,.84806535
ATOMOS ORDINARY,AMS,3894204,401821079,.9691388
AU CLINICAL LABS ORDINARY,ACL,11977873,201834015,5.93451654
AUB GROUP LTD ORDINARY,AUB,615893,101530518,.60660874
AUCKLAND INTERNATION ORD FOR.EXEMPT NZX,AIA,1253853,1472551137,.08514835
AUDINATEGROUPLTD ORDINARY,AD8,687528,77451919,.88768362
AUDIO PIXELS LTD ORDINARY,AKP,822,29044742,.00283012
AURA ENERGY ORDINARY,AEE,2139641,516464840,.4142859
AURELIA METALS LTD ORDINARY,AMI,63930726,1237437216,5.16638139
AURIZON HOLDINGS LTD ORDINARY,AZJ,21699586,1840703982,1.17887429
AUSGOV TREASURY BOND TB 0.25% 11-24 6M,GSBU24,293780,413000000,.07113317
AUSGOV TREASURY BOND TB 0.25% 11-25 6M,GSBU25,164310,387000000,.04245736
AUSGOV TREASURY BOND TB 1.00% 11-31 6M,GSBU31,75770,418000000,.01812679
AUSGOV TREASURY BOND TB 1.00% 12-30 6M,GSBW30,99160,387000000,.02562274
AUSGOV TREASURY BOND TB 1.25% 05-32 6M,GSBI32,197390,393000000,.05022646
AUSGOV TREASURY BOND TB 1.50% 06-31 6M,GSBK31,441150,381000000,.1157874
AUSGOV TREASURY BOND TB 2.50% 05-30 6M,GSBI30,177210,371000000,.0477655
AUSGOV TREASURY BOND TB 2.75% 04-24 6M,GSBG24,2180000,359000000,.60724234
AUSGOV TREASURY BOND TB 2.75% 06-35 6M,GSBK35,218900,100500000,.21781095
AUSGOV TREASURY BOND TB 2.75% 11-27 6M,GSBU27,41350,314000000,.01316879
AUSGOV TREASURY BOND TB 2.75% 11-28 6M,GSBU28,396040,341000000,.11614076
AUSGOV TREASURY BOND TB 2.75% 11-29 6M,GSBU29,2490,347000000,.00071758
AUSGOV TREASURY BOND TB 3.00% 03-47 6M,GSBE47,267850,142000000,.18862676
AUSGOV TREASURY BOND TB 3.25% 06-39 6M,GSBK39,200000,103000000,.19417476
AUSSIE BROADBAND ORDINARY,ABB,12925508,237682509,5.43814017
AUSSTRATMATERIALS ORDINARY,ASM,5868781,166705227,3.5204541
AUST FINANCE GRP ORDINARY,AFG,5308100,270258312,1.9640839
AUST VANADIUM LTD ORDINARY,AVL,8195898,4363625217,.18782314
AUST VINTAGE LTD ORDINARY,AVG,800500,252638486,.31685592
AUSTAL LIMITED ORDINARY,ASB,1871447,362441875,.51634403
AUSTIN ENGINEERING ORDINARY,ANG,569571,583339584,.0976397
AUSTRALIAN AGRICULT. ORDINARY,AAC,4415238,602766747,.73249528
AUSTRALIAN ETHICAL ORDINARY,AEF,314048,112782052,.27845565
AUSTRARE ORDINARY,AR3,498121,95201552,.52322781
AUTECO MINERALS ORDINARY,AUT,7651439,2312836300,.33082493
AVA RISK GROUP LTD ORDINARY,AVA,69325,255414634,.02714214
AVITA MEDICAL CDI 5:1,AVH,398553,71794370,.55513127
AVZ MINERALS LTD ORDINARY,AVZ,141277715,3528729748,4.00364225
AZURE MINERALS ORDINARY,AZS,1154094,390236072,.29574252
BABY BUNTING GRP LTD ORDINARY,BBN,3977503,134906489,2.94834076
BANK OF QUEENSLAND. ORDINARY,BOQ,34722709,652485010,5.32161022
BANNERMAN ENERGY LTD ORDINARY,BMN,2655547,150465950,1.76488235
BAPCOR LIMITED ORDINARY,BAP,6293640,339412500,1.85427467
BCI MINERALS LTD ORDINARY,BCI,48972,1211480407,.00404233
BEACH ENERGY LIMITED ORDINARY,BPT,10652844,2281333656,.46695686
BEACON LIGHTING GRP ORDINARY,BLX,53046,223321406,.02375321
BEGA CHEESE LTD ORDINARY,BGA,9168369,303898577,3.01691738
BELL FINANCIAL GROUP ORDINARY,BFG,99998,320743948,.03117689
BELLEVUE GOLD LTD ORDINARY,BGL,22091215,1129124772,1.95649015
BENDIGO AND ADELAIDE ORDINARY,BEN,20130847,567504078,3.54726032
BERKELEY ENERGIA LTD ORDINARY,BKY,595096,445796715,.13349044
BEST & LESS ORDINARY,BST,1376050,125366930,1.09761801
BETAGOVBOND20ETF ETF UNITS,GGOV,11046,6081167,.18164277
BETASHARESCASHETF ETF UNITS,AAA,46,55380921,.00008306
BETMAKERS TECH GROUP ORDINARY,BET,95479141,942874934,10.12638448
BHP GROUP LIMITED ORDINARY,BHP,10978895,5065820556,.21672491
BIGTINCAN HLDGS LTD ORDINARY,BTH,2924591,607253090,.4816099
BLACK ROCK MINING ORDINARY,BKT,2122752,982988691,.21594877
BLACKMORES LIMITED ORDINARY,BKL,378543,19449403,1.94629624
BLACKSTONE LTD ORDINARY,BSX,2402301,473385141,.50747284
BLOCK CDI 1:1 NYSE,SQ2,360324,30891473,1.16641897
BLUEBET HOLDINGS LTD ORDINARY,BBT,22159,200201228,.01106836
BLUESCOPE STEEL LTD ORDINARY,BSL,3441068,463445854,.74249623
BLUGLASS LIMITED ORDINARY,BLG,1128424,1349551696,.08361473
