Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,87590,208955763,.04191796
4DS MEMORY LIMITED ORDINARY,4DS,885978,1456990442,.06080877
5EADVANCED CDI 10:1,5EA,726697,294975940,.24635806
29METALSLIMITED ORDINARY,29M,13108649,481319391,2.72348242
88 ENERGY LTD ORDINARY,88E,19686581,15885207406,.12393027
92ENERGY ORDINARY,92E,3334647,81878696,4.07266745
A-CAP ENERGY LTD ORDINARY,ACB,1983225,1232435086,.16091923
A2B AUSTRALIA LTD ORDINARY,A2B,986052,121230683,.81336835
ABACUS PROPERTY GRP. FPO/UNITS STAPLED,ABP,2566238,892429122,.28755651
ACCENT GROUP LTD ORDINARY,AX1,1329042,541866715,.24527102
ACTINOGEN MEDICAL ORDINARY,ACW,288550,1795643817,.01606945
ADAIRS LIMITED ORDINARY,ADH,7699210,171316433,4.49414564
ADBRI LIMITED ORDINARY,ABC,5237045,652627555,.80245539
ADORE BEAUTY ORDINARY,ABY,1981622,94124497,2.10532015
ADRIATIC METALS CDI 1:1,ADT,680210,208526195,.32619883
ADV HUMAN IMAG LTD ORDINARY,AHI,44612,166749382,.02675392
AERIS RESOURCES LTD ORDINARY,AIS,30727574,3207168420,.95809044
AGL ENERGY LIMITED. ORDINARY,AGL,14151561,672747233,2.10354801
AI-MEDIA TECHNOLOGIE ORDINARY,AIM,20174,208016593,.00969826
AIRTASKER LIMITED ORDINARY,ART,1140097,440124392,.25903972
ALCIDION GROUP LTD ORDINARY,ALC,3993205,1268069053,.31490438
ALKANE RESOURCES LTD ORDINARY,ALK,1410904,595583420,.23689444
ALLIANCE AVIATION ORDINARY,AQZ,235437,160734697,.14647553
ALLIGATOR ENERGY ORDINARY,AGE,37548584,3242965050,1.15784732
ALLKEM LIMITED ORDINARY,AKE,5280175,637658086,.82805741
ALPHA HPA LTD ORDINARY,A4N,2624577,795486624,.32993352
ALS LTD ORDINARY,ALQ,2361553,483711344,.48821534
ALTIUM LIMITED ORDINARY,ALU,983041,131469072,.74773556
ALUMINA LIMITED ORDINARY,AWC,83792828,2901681417,2.88773356
AMA GROUP LIMITED ORDINARY,AMA,69834684,1022435377,6.83022962
AMCOR PLC CDI1:1FOREXEMPT NYSE,AMC,10675262,731573584,1.45921917
AMP LIMITED ORDINARY,AMP,33696650,3266105853,1.03170722
AMPOL LIMITED ORDINARY,ALD,643575,238302099,.27006686
ANDROMEDA METALS LTD ORDINARY,ADN,37159343,3107735099,1.19570497
ANSARADA GROUP LTD ORDINARY,AND,1,89335568,.00000112
ANSELL LIMITED ORDINARY,ANN,6914149,127441469,5.42535256
ANTEOTECH LTD ORDINARY,ADO,2539372,1987874802,.12774305
ANTERIS TECHNOLOGIES ORDINARY,AVR,1783,13812392,.0129087
ANTIPA MINERALS LTD ORDINARY,AZY,3021245,3139708262,.09622693
ANZ BANKING GRP LTD ORDINARY,ANZ,13765330,2794104174,.49265629
APA GROUP UNITS STAPLED,APA,16338764,1179893848,1.38476559
APM HUMAN SERVICES ORDINARY,APM,11068151,917181946,1.20675631
APPEN LIMITED ORDINARY,APX,8522980,123446356,6.90419732
ARB CORPORATION. ORDINARY,ARB,806393,81855789,.98513863
ARCHER MATERIALS ORDINARY,AXE,912894,248467207,.36741026
ARCHTIS LIMITED ORDINARY,AR9,165064,263803207,.06257088
ARDENTLEISUREGRPLTD ORDINARY,ALG,5105461,479706016,1.06428955
ARENA REIT. FPO/UNITS STAPLED,ARF,5315714,346677884,1.53332942
ARGO INVESTMENTS ORDINARY,ARG,6485,750132378,.00086451
ARGOSY MINERALS LTD ORDINARY,AGY,70705,1355978574,.00521432
ARISTOCRAT LEISURE ORDINARY,ALL,3756980,669623294,.56105874
AROA BIOSURGERY ORDINARY,ARX,481013,342724208,.14034988
ARUMA RESOURCES LTD ORDINARY,AAJ,126560,156961503,.08063124
ASTON MINERALS LTD ORDINARY,ASO,1417326,1094565418,.12948756
ASX LIMITED ORDINARY,ASX,1652534,193595162,.85360294
ATLAS ARTERIA FPOSTUSPROHEXCLQUP,ALX,21321705,959018226,2.22328465
ATOMOS ORDINARY,AMS,2141145,222351585,.96295468
AU CLINICAL LABS ORDINARY,ACL,1132702,201834015,.56120471
AUB GROUP LTD ORDINARY,AUB,607733,92409126,.65765474
AUCKLAND INTERNATION ORD FOR.EXEMPT NZX,AIA,6717095,1472551137,.4561536
AUDINATEGROUPLTD ORDINARY,AD8,993429,77170653,1.28731449
AUDIO PIXELS LTD ORDINARY,AKP,1344,28698663,.00468314
AURA ENERGY ORDINARY,AEE,1652380,483825028,.34152429
AURELIA METALS LTD ORDINARY,AMI,14028509,1237056457,1.13402334
AURIZON HOLDINGS LTD ORDINARY,AZJ,21716966,1840703982,1.17981849
AUSGOV TREASURY BOND TB 0.25% 11-24 6M,GSBU24,2430400,406000000,.59862069
AUSGOV TREASURY BOND TB 0.25% 11-25 6M,GSBU25,1508380,368000000,.40988587
AUSGOV TREASURY BOND TB 0.50% 09-26 6M,GSBQ26,11900,346000000,.00343931
AUSGOV TREASURY BOND TB 1.00% 11-31 6M,GSBU31,868330,410000000,.2117878
AUSGOV TREASURY BOND TB 1.00% 12-30 6M,GSBW30,18670,387000000,.00482429
AUSGOV TREASURY BOND TB 1.25% 05-32 6M,GSBI32,429770,352000000,.12209375
AUSGOV TREASURY BOND TB 1.50% 06-31 6M,GSBK31,1336270,381000000,.35072703
AUSGOV TREASURY BOND TB 1.75% 06-51 6M,GSBK51,2313940,172000000,1.34531395
AUSGOV TREASURY BOND TB 1.75% 11-32 6M,GSBU32,1127890,236000000,.47791949
AUSGOV TREASURY BOND TB 2.25% 05-28 6M,GSBI28,37150,297000000,.01250842
AUSGOV TREASURY BOND TB 2.25% 11-22 6M,GSBU22,83690,265000000,.03158113
AUSGOV TREASURY BOND TB 2.50% 05-30 6M,GSBI30,80160,371000000,.02160647
AUSGOV TREASURY BOND TB 2.75% 05-41 6M,GSBI41,1340460,135000000,.99293333
AUSGOV TREASURY BOND TB 2.75% 06-35 6M,GSBK35,72000,95500000,.07539267
AUSGOV TREASURY BOND TB 2.75% 11-27 6M,GSBU27,221060,307000000,.07200651
AUSGOV TREASURY BOND TB 2.75% 11-28 6M,GSBU28,514900,326000000,.15794479
AUSGOV TREASURY BOND TB 2.75% 11-29 6M,GSBU29,296000,334000000,.08862275
AUSGOV TREASURY BOND TB 3.00% 03-47 6M,GSBE47,1340990,133000000,1.00826316
AUSGOV TREASURY BOND TB 3.00% 11-33 6M,GSBU33,2393370,150000000,1.59558
AUSGOV TREASURY BOND TB 3.25% 06-39 6M,GSBK39,531000,103000000,.51553398
AUSGOV TREASURY BOND TB 3.75% 04-37 6M,GSBG37,1934080,120000000,1.61173333
AUSSIE BROADBAND ORDINARY,ABB,1165726,237623165,.49057759
AUSSTRATMATERIALS ORDINARY,ASM,5682382,141956062,4.00291606
AUST FINANCE GRP ORDINARY,AFG,2696651,269128877,1.00199244
AUST POTASH LTD ORDINARY,APC,777381,808382808,.09616496
AUST VANADIUM LTD ORDINARY,AVL,1121437,3928707108,.02854468
AUST VINTAGE LTD ORDINARY,AVG,1076795,252638486,.4262197
AUSTAL LIMITED ORDINARY,ASB,8640638,361858154,2.38785223
AUSTIN ENGINEERING ORDINARY,ANG,871162,581727804,.14975423
AUSTRALIAN AGRICULT. ORDINARY,AAC,947245,602766747,.15714951
AUSTRALIAN ETHICAL ORDINARY,AEF,339603,112387138,.30217248
AUSTRARE ORDINARY,AR3,720757,95201552,.75708535
AUTECO MINERALS ORDINARY,AUT,5024620,2067302168,.24305204
AUTOSPORTS GRP LTD. ORDINARY,ASG,36479,201000000,.01814876
AVA RISK GROUP LTD ORDINARY,AVA,518558,242963185,.21343069
AVADA GROUP LIMITED ORDINARY,AVD,34593,73268358,.04721411
AVITA MEDICAL CDI 5:1,AVH,1124327,75799745,1.48328599
AVJENNINGS LIMITED ORDINARY,AVJ,39907,406230728,.00982373
AVZ MINERALS LTD ORDINARY,AVZ,150287451,3528729748,4.25896744
AZURE MINERALS ORDINARY,AZS,376930,310735721,.12130244
BABY BUNTING GRP LTD ORDINARY,BBN,1504911,132458126,1.13614094
BANK OF QUEENSLAND. ORDINARY,BOQ,35028738,647357479,5.41103473
BANNERMAN ENERGY LTD ORDINARY,BMN,6242965,1487682104,.41964375
BAPCOR LIMITED ORDINARY,BAP,7160023,339412500,2.10953427
BEACH ENERGY LIMITED ORDINARY,BPT,38043055,2281333656,1.66757962
BEACON LIGHTING GRP ORDINARY,BLX,78751,223321406,.03526353
BEGA CHEESE LTD ORDINARY,BGA,13737496,303283430,4.52959003
BELL FINANCIAL GROUP ORDINARY,BFG,266875,320743948,.083205
BELLEVUE GOLD LTD ORDINARY,BGL,60410969,1031431826,5.85700067
BENDIGO AND ADELAIDE ORDINARY,BEN,19396037,565018158,3.43281658
BEST & LESS ORDINARY,BST,296601,125366930,.23658632
BETA AUS COMP BOND ETF UNITS,OZBD,8624,160001,5.38996631
BETASHARESCASHETF ETF UNITS,AAA,96,37640544,.00025504
BETMAKERS TECH GROUP ORDINARY,BET,112083280,903460347,12.40599882
BHP GROUP LIMITED ORDINARY,BHP,13813914,5062323190,.27287697
