company_name,address,summary,details,website,stock_code
FINTECH CHAIN LIMITED,"1701 Block B2, No 15 Ke Yuan Road, KeXing Science Park,Nanshan District, SHENZHEN, ., CHINA, 518000",Provision of online and offline transaction authentications.,Provision of online and offline transaction authentications.,http://www.ttg.hk,FTC
FIRETAIL RESOURCES LIMITED,"T2, 66-68 Hay Street, SUBIANCO, WA, AUSTRALIA, 6008",Mineral exploration,Mineral exploration,https://www.firetailresources.com.au/,FTL
FERTOZ LIMITED,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000","North American & Australian miner, manufacturer, and distributor of rock phosphate fertilizer and global carbon project development.","North American & Australian miner, manufacturer, and distributor of rock phosphate fertilizer and global carbon project development.",http://www.fertoz.com,FTZ
FLEETWOOD LIMITED,"Level 2, 464 Hay Street, SUBIACO, WA, AUSTRALIA, 6008","Manufacture of caravan and vehicle parts and accessories.
Design, manufacture, sale and rental of manufactured accommodation","Manufacture of caravan and vehicle parts and accessories.
Design, manufacture, sale and rental of manufactured accommodation",http://www.fleetwood.com.au,FWD
FELIX GOLD LIMITED,"Level 1, 371 Queen St, BRISBANE, QLD, AUSTRALIA, 4000",Mining exploration,Mining exploration,https://www.felixgold.com.au/,FXG
FITZROY RIVER CORPORATION LTD,"79 Careniup Avenue, GWELUP, WA, AUSTRALIA, 6018",Oil and gas investment holding company,Oil and gas investment holding company,http://www.fitzroyriver.net.au,FZR
G11 RESOURCES LIMITED,"Level 21, 459 Collins Street, MELBOURNE, VIC, AUSTRALIA, 300",Copper and gold Exploration,Copper and gold Exploration,http://odinmetals.com.au/,G11
GALENA MINING LIMITED,"Level 8 London House, 216 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",Mineral exploration and development,Mineral exploration and development,http://www.galenamining.com.au,G1A
GOLD 50 LIMITED,"Suite 16.01, Level 16, 213 Miller Street, NORTH SYDNEY, NSW, AUSTRALIA, 2060",Mineral exploration and mining,Mineral exploration and mining,https://www.gold50.com/,G50
GROUP 6 METALS LIMITED,"Suite 7C, Level 7, 157 Ann Street, BRISBANE, QLD, AUSTRALIA, 4000",Development of the King Island scheelite deposits.,Development of the King Island scheelite deposits.,https://g6m.com.au,G6M
GOLDEN MILE RESOURCES LTD,"Level 5, 191 St Georges Tce, PERTH, WA, AUSTRALIA, 6000","Golden Mile Resources Ltd (Golden Mile; ASX: G88) is a Western Australian focused mineral exploration company with projects in the Eastern Goldfields, Murchison, and South-West regions. The Company¿¿¿s gold projects are in the highly prospective Eastern G","Golden Mile Resources Ltd (Golden Mile; ASX: G88) is a Western Australian focused mineral exploration company with projects in the Eastern Goldfields, Murchison, and South-West regions. The Company¿¿¿s gold projects are in the highly prospective Eastern G",http://www.goldenmileresources.com.au,G88
GALILEO MINING LTD,"13 Colin Street, WEST PERTH, PERTH, WA, AUSTRALIA, 6005",Exploration of mineral resources,Exploration of mineral resources,http://www.galileomining.com.au/,GAL
GALE PACIFIC LIMITED,"145 Woodlands Drive, BRAESIDE, VIC, AUSTRALIA, 3195",Design and manufacture of advanced polymer products.,Design and manufacture of advanced polymer products.,http://www.galepacific.com,GAP
STATE GAS LIMITED,"Level 8, 46 Edward Street, BRISBANE, QLD, AUSTRALIA, 4000",Conventional gas exploration,Conventional gas exploration,http://tba,GAS
GLOBE METALS & MINING LIMITED,"45 Ventnor Avenue, WEST PERTH, WA, AUSTRALIA, 6005",Specialty metals and mineral development,Specialty metals and mineral development,https://www.globemm.com,GBE
GREAT BOULDER RESOURCES LIMITED,"Level 1, 51 Colin Street, WEST PERTH, WA, AUSTRALIA, 6005",Mineral exploration with a primary focus on exploration for gold,Mineral exploration with a primary focus on exploration for gold,http://www.greatboulder.com.au,GBR
GBM RESOURCES LIMITED,"Suite 8, 7 The Esplanade, MT PLEASANT, WA, AUSTRALIA, 6153",Mineral Exploration,Mineral Exploration,http://www.gbmr.com.au,GBZ
GLENNON SMALL COMPANIES LIMITED,"Level 26, 44 Market Street, SYDNEY, NSW, AUSTRALIA, 2000","Upon completion of the offer and admission to the official list of ASX, the Company will be a listed investment company and will primarily invest in listed companies outside the S&P/ASX 100.","Upon completion of the offer and admission to the official list of ASX, the Company will be a listed investment company and will primarily invest in listed companies outside the S&P/ASX 100.",http://www.glennon.com.au,GC1
GRYPHON CAPITAL INCOME TRUST,"Level 16, Governor Macquarie Tower, 1 Farrer Place, SYDNEY, NSW, AUSTRALIA, 2000",Investment in fixed income securities,Investment in fixed income securities,https://gcapinvest.com/our-lit/,GCI
GREEN CRITICAL MINERALS LIMITED,"349 Hay Street, SUBIACO, WA, AUSTRALIA, 6008",Mining exploration company,Mining exploration company,https://www.gcminerals.com.au,GCM
GOLDEN CROSS RESOURCES LTD,"Unit 401 Level 4, 781 Pacific Highway, CHATSWOOD, NSW, AUSTRALIA, 2067",Minerals exploration for precious and base metals and uranium in Australia and overseas.,Minerals exploration for precious and base metals and uranium in Australia and overseas.,http://www.goldencross.com.au,GCR
GCX METALS LIMITED,"Level 9, 28 The Esplanade, PERTH, WA, AUSTRALIA, 6000",Mineral exploration,Mineral exploration,http://www.gcxmetals.com.au,GCX
GOOD DRINKS AUSTRALIA LTD,"14 Absolon Street, PALMYRA, WA, AUSTRALIA, 6157","Production, marketing, distribution and sales of quality craft beer, lager beer, cider and other beverages.
Operating branded hospitality venues across Australia.","Production, marketing, distribution and sales of quality craft beer, lager beer, cider and other beverages.
Operating branded hospitality venues across Australia.",http://www.goodrinks.com.au,GDA
GLOBAL DATA CENTRE GROUP,"Level 15, 68 Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000",Investment in data centre assets,Investment in data centre assets,https://www.globaldatacentres.com.au/,GDC
GARDA PROPERTY GROUP,"Level 21, 12 Creek Street, BRISBANE, QLD, AUSTRALIA, 4000",Investment in real estate.,Investment in real estate.,http://www.gardaproperty.com.au,GDF
GENERATION DEVELOPMENT GROUP LIMITED,"Level 17, 447 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",Diversified financial services group,Diversified financial services group,http://www.gendevelopmentgroup.com.au,GDG
GDI PROPERTY GROUP,"Level 23, 56 Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000","Owning, managing and developing real estate assets and managing real estate funds on behalf of third party investors.","Owning, managing and developing real estate assets and managing real estate funds on behalf of third party investors.",http://www.gdi.com.au,GDI
GREAT DIVIDE MINING LTD,"Level 12, 127 Creek Street, BRISBANE, QLD, AUSTRALIA, 4000",Mineral exploration,Mineral exploration,https://greatdividemining.com.au/,GDM
GOLDEN DEEPS LIMITED.,"1st Floor, 8 Parliament Place, WEST PERTH, WA, AUSTRALIA, 6005",Mineral Exploration,Mineral Exploration,http://www.goldendeeps.com,GED
G8 EDUCATION LIMITED,"159 Varsity Parade, VARSITY LAKES, Qld, AUSTRALIA, 4227",Child care operator,Child care operator,http://www.g8education.edu.au,GEM
GENMIN LIMITED,"London House, Suite 3, Level 8, 216 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",Iron ore exploration and development,Iron ore exploration and development,https://genmingroup.com/,GEN
GENESIS RESOURCES LIMITED,"C/- Holding Redlich, Level 8, 555 Bourke Street, MELBOURNE, VIC, AUSTRALIA, 3000","Gold, manganese and copper exploration.","Gold, manganese and copper exploration.",http://www.genesisresourcesltd.com.au,GES
GLOBAL MASTERS FUND LIMITED,"Corporate Centre One, Level 12, 2 Corporate Court, BUNDALL, QLD, AUSTRALIA, 4712",Investment company investing predominantly in Berkshire Hathaway,Investment company investing predominantly in Berkshire Hathaway,http://www.globalmastersfund.com.au,GFL
GRAND GULF ENERGY LIMITED,"Suite 1G, 56 KINGS PARK ROAD, WEST PERTH, WA, AUSTRALIA, 6005",Exploration,Exploration,http://www.grandgulfenergy.com,GGE
GAS2GRID LIMITED,"Suite 22, Level 5, 58 Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000",Oil and gas exploration in the Philippines and France.,Oil and gas exploration in the Philippines and France.,http://www.gas2grid.com,GGX
GOLD HYDROGEN LIMITED,"Suite 3, Level 14, 110 Eagle Street, BRISBANE CITY, QLD, AUSTRALIA, 4000",Exploration and development of hydrogen assets in Australia.,Exploration and development of hydrogen assets in Australia.,https://www.goldhydrogen.com.au/,GHY
GIBB RIVER DIAMONDS LIMITED,"Suite 4, 6 Richardson Street, WEST PERTH, WA, AUSTRALIA, 6005",A Multi Commodity Resources Company,A Multi Commodity Resources Company,http://www.gibbriverdiamonds.com,GIB
GLOBAL LITHIUM RESOURCES LIMITED,"Suite 8, 7 The Esplanade, MT PLEASANT, WA, AUSTRALIA, 6153",Mining exploration,Mining exploration,http://www.globallithium.com.au,GL1
GLADIATOR RESOURCES LIMITED,"Suite 11.01, 1 Castlereagh Street, SYDNEY, NSW, AUSTRALIA, 2000",Uranium and Gold exploration,Uranium and Gold exploration,http://www.gladiatorresources.net,GLA
GLOBE INTERNATIONAL LIMITED,"1 Fennell Street, PORT MELBOURNE, VIC, AUSTRALIA, 3207",Multi brand footwear and apparel.,Multi brand footwear and apparel.,http://www.globecorporate.com,GLB
GLG CORP LTD,"C/- Source Governance, Suite 4201, Level 42 Australia Square, 264 George Street, SYDNEY, NSW, AUSTRALIA, 2000",Global supplier of knitwear/apparel and supply chain management operation.,Global supplier of knitwear/apparel and supply chain management operation.,http://www.ghimli.com/,GLE
GLOBAL HEALTH LIMITED,"Level 2, 696 Bourke Street, MELBOURNE, VIC, AUSTRALIA, 3000","Providing healthcare software and services for hospitals, clinicians and consumers.","Providing healthcare software and services for hospitals, clinicians and consumers.",http://www.global-health.com/,GLH
GALILEE ENERGY LIMITED,"Level 6, Emirates Building, 167 Eagle Street, BRISBANE, QLD, AUSTRALIA, 4000",Exploration and development of hydrocarbons,Exploration and development of hydrocarbons,http://www.galilee-energy.com.au,GLL
GALAN LITHIUM LIMITED,"Level 1, 50 Kings Park Road, WEST PERTH, WA, AUSTRALIA, 6005",Exploration and development of lithium projects,Exploration and development of lithium projects,http://www.galanlithium.com.au,GLN
GLOBAL OIL & GAS LIMITED,"Level 1, 10 Outram Street, WEST PERTH, WA, AUSTRALIA, 6005","Conventional and Unconventional Oil and Gas exploration in the Southern Georgina Basin, Northern Territory.","Conventional and Unconventional Oil and Gas exploration in the Southern Georgina Basin, Northern Territory.",http://www.globaloilandgas.com.au,GLV
GENESIS MINERALS LIMITED,"Level 7, 40 The Esplanade, PERTH, WA, AUSTRALIA, 6000",Gold producer,Gold producer,http://www.genesisminerals.com.au,GMD
GOODMAN GROUP,"The Hayesbery, 1-11 Hayes Road, ROSEBERY, NSW, AUSTRALIA, 2018","International industrial and business space property, development and funds management business.","International industrial and business space property, development and funds management business.",http://www.goodman.com,GMG
GATEWAY MINING LIMITED,"B1/431 Roberts Road, SUBIACO, WA, AUSTRALIA, 6008",Gold and other mineral exploration,Gold and other mineral exploration,http://www.gatewaymining.com.au/,GML
GOLD MOUNTAIN LIMITED,"24, 589 Stirling Highway, COTTESLOE, WA, AUSTRALIA, 6011",Mineral exploration for lithium in Brazil and copper/gold in PNG.,Mineral exploration for lithium in Brazil and copper/gold in PNG.,http://www.goldmountainltd.com.au,GMN
GRAINCORP LIMITED,"Level 20, Tower 2, International Towers, 200 Barangaroo Avenue, BARANGAROO, NSW, AUSTRALIA, 2000",Global AgriBusiness.,Global AgriBusiness.,http://www.graincorp.com.au,GNC
GENESIS ENERGY LIMITED,"TMF Corporate Services Aust Pty Ltd, Level 16, 201 Elizabeth Street, SYDNEY, NSW, AUSTRALIA, 2000",Electricity generation and electricity retailing.,Electricity generation and electricity retailing.,http://www.genesisenergy.co.nz,GNE
GR ENGINEERING SERVICES LIMITED,"71 Daly Street, ASCOT, WA, AUSTRALIA, 6104","The provision of process engineering, design and construction services to the mining and minerals processing industries.","The provision of process engineering, design and construction services to the mining and minerals processing industries.",http://www.gres.com.au,GNG
GREAT NORTHERN MINERALS LIMITED,"Level 1, 33 Colin Street, WEST PERTH, WA, AUSTRALIA, 6005",Mineral Exploration,Mineral Exploration,http://www.greatnorthernminerals.com.au,GNM
GENUSPLUS GROUP LTD,"Level 1, 63-69 Abernethy Road, BELMONT, WA, AUSTRALIA, 6104",Electricity and telecommunications infrastructure construction and maintenance,Electricity and telecommunications infrastructure construction and maintenance,https://www.genus.com.au/,GNP
