company_name,address,summary,details,website,stock_code
1414 DEGREES LIMITED,"136 Daws Road, MELROSE PARK, SA, AUSTRALIA, 5039","Commercialising energy storage technology, thermal energy storage system providing a low cost solution to intermittent energy supply and recovering electricity through a turbine on demand.","Commercialising energy storage technology, thermal energy storage system providing a low cost solution to intermittent energy supply and recovering electricity through a turbine on demand.",http://www.1414degrees.com.au,14D
ADALTA LIMITED,"Unit 15, 2 Park Drive, BUNDOORA, VIC, AUSTRALIA, 3083",Drug discovery and development,Drug discovery and development,http://www.adalta.com.au,1AD
AURORA ENERGY METALS LIMITED,"Suite 1, 245 Churchill Ave, SUBIACO, WA, AUSTRALIA, 6008",Mineral exploration and development,Mineral exploration and development,https://auroraenergymetals.com/,1AE
ALTERRA LIMITED,"Level 3, 150 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000","Alterra is an originator, developer and manager of agricultural land and water assets in Australia.","Alterra is an originator, developer and manager of agricultural land and water assets in Australia.",http://www.alterra.com.au,1AG
ALGORAE PHARMACEUTICALS LIMITED,"Level 23, 525 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",Pharmaceutical development,Pharmaceutical development,https://algoraepharma.com/,1AI
ONE CLICK GROUP LIMITED,"Suite 5 CPC, 145 Stirling Highway, NEDLANDS, WA, AUSTRALIA, 6009",Financial technology.,Financial technology.,https://oneclickgroup.com.au/,1CG
MORELLA CORPORATION LIMITED,"Suite 5,, 680 Murray Street, WEST PERTH, WA, AUSTRALIA, 6005","Mining, processing and sale of lithium ore.","Mining, processing and sale of lithium ore.",http://www.morellacorp.com,1MC
THRIVE TRIBE TECHNOLOGIES LIMITED,"Level 57, MLC Centre, 19-29 Martin Place, SYDNEY, NSW, AUSTRALIA, 2000","Providing customers with a cloud based Saas App that enables them to communicate with their employees in a mobile, innovative, collaborative and effective manner","Providing customers with a cloud based Saas App that enables them to communicate with their employees in a mobile, innovative, collaborative and effective manner",http://www.thrivetribetech.com,1TT
29METALS LIMITED,"Level 2,150 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000","Mineral exploration, development, and production","Mineral exploration, development, and production",https://www.29metals.com/,29M
LIFE360 INC.,"Suite 310, 1900 S. Norfolk Street, SAN MATEO, CA, UNITED STATES OF AMERICA, 94403",Providing a location-based services application for consumers globally to track their contacts and an integrated driver-protect service that contacts emergency services.,Providing a location-based services application for consumers globally to track their contacts and an integrated driver-protect service that contacts emergency services.,http://www.life360.com,360
AMAERO INTERNATIONAL LTD,"Acclime Australia, Level 7, 330 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",Additive Manufacturing,Additive Manufacturing,http://www.amaero.com.au/,3DA
POINTERRA LIMITED,"Level 4, 216 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000","Pointerra is an ASX-listed company with a patented cloud-based digital twin platform, Pointerra3D, which is a true end-to-end solution that stores, processes, manages, analyzes, extracts, visualizes and shares the key insights from massive 3D data at a ne","Pointerra is an ASX-listed company with a patented cloud-based digital twin platform, Pointerra3D, which is a true end-to-end solution that stores, processes, manages, analyzes, extracts, visualizes and shares the key insights from massive 3D data at a ne",http://www.pointerra.com,3DP
3P LEARNING LIMITED..,"655 Parramatta Road, LEICHHARDT, NSW, AUSTRALIA, 2040","Information technology, software & services.","Information technology, software & services.",http://www.3plearning.com,3PL
4DS MEMORY LIMITED,"Level 2, 50 Kings Park Road, WEST PERTH, WA, AUSTRALIA, 6005",Creation of electronic memory storage.,Creation of electronic memory storage.,http://www.4dsmemory.com,4DS
4DMEDICAL LIMITED,"Level 7, 700 Swanston Street, CARLTON, VIC, AUSTRALIA, 3053",Medical imaging software and hardware provider,Medical imaging software and hardware provider,https://4dmedical.com/,4DX
5E ADVANCED MATERIALS INC.,"9329 Mariposa Road, Ste 210, HESPERIA, CA, UNITED STATES OF AMERICA, 92344",A minerals exploration and production company focused on the development of its 100% owned Fort Cady Borate Project.,A minerals exploration and production company focused on the development of its 100% owned Fort Cady Borate Project.,https://5eadvancedmaterials.com/,5EA
PENTANET LIMITED,"2/8 Corbusier Place, BALCATTA, WA, AUSTRALIA, 6021",Telecommunications and internet services provider,Telecommunications and internet services provider,https://pentanet.com.au/,5GG
5G NETWORKS LIMITED.,"Level 7, 505 Little Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000","5GN is an Australian owned digital services company who empower more than 2.500 corporate clients to grow and thrive online. Our portfolio of digital services is extensive, with market leading offers across Cloud, Data networks, Data centre, managed IT se","5GN is an Australian owned digital services company who empower more than 2.500 corporate clients to grow and thrive online. Our portfolio of digital services is extensive, with market leading offers across Cloud, Data networks, Data centre, managed IT se",https://www.5gnetworks.au,5GN
88 ENERGY LIMITED,"Ground Floor, 516 Hay Street, SUBIACO, WA, AUSTRALIA, 6008",Oil and Gas Exploration.,Oil and Gas Exploration.,http://www.88energy.com,88E
8COMMON LIMITED,"Walker Wayland NSW Chartered Accountants, Suite 1, Level 11, 60 Castlereagh Street, SYDNEY, NSW, AUSTRALIA, 2000",The development and distribution of two established software solutions.,The development and distribution of two established software solutions.,http://www.8common.com,8CO
8I HOLDINGS LTD,"C/- SmallCap Corporate Pty Ltd, Suite 6, 295 Rokeby Rd, SUBIACO, WA, AUSTRALIA, 6008",Investment Business and Financial Education.,Investment Business and Financial Education.,http://8iholdings.com/,8IH
8VI HOLDINGS LIMITED,"Goldbell Towers, 47 Scotts Road, #03-03/, SINGAPORE, ., SINGAPORE, 228233",Financial education and Fintech,Financial education and Fintech,https://www.8viholdings.com,8VI
92 ENERGY LIMITED,"Level 3, 16 Milligan Street, PERTH, WA, AUSTRALIA, 6000",Mineral exploration and development,Mineral exploration and development,https://www.92energy.com/,92E
ATLANTIC LITHIUM LIMITED,"Level 17, Angel Place, 123 Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000",Mining & Mineral Exploration,Mining & Mineral Exploration,https://www.atlanticlithium.com.au/,A11
AFRICAN GOLD LTD.,"Suite 23, 513 Hay Street, SUBIACO, WA, AUSTRALIA, 6008",Mining and Exploration,Mining and Exploration,http://african-gold.com,A1G
AIC MINES LIMITED,"Suite 3, 130 Hay Street, SUBIACO, WA, AUSTRALIA, 6008",Mining and exploration,Mining and exploration,http://www.aicmines.com.au,A1M
ARN MEDIA LIMITED,"3 Byfield Street, MACQUARIE PARK, NSW, AUSTRALIA, 2113","ARN Media Limited is a leading media and entertainment business, operating Australian Radio Network, Emotive, as well as outdoor assets in Hong Kong.","ARN Media Limited is a leading media and entertainment business, operating Australian Radio Network, Emotive, as well as outdoor assets in Hong Kong.",https://arn.com.au/,A1N
A2B AUSTRALIA LIMITED,"9-13 O'Riordan Street, ALEXANDRIA, NSW, AUSTRALIA, 2015",A2B provides booking and dispatch technologies and payment solutions enabling the successful operation of personal transport services.,A2B provides booking and dispatch technologies and payment solutions enabling the successful operation of personal transport services.,http://www.a2baustralia.com,A2B
THE A2 MILK COMPANY LIMITED,"Level 10, 51 Shortland Street, AUCKLAND, ., NEW ZEALAND, 1010",Sale of branded products in targeted markets made with milk naturally containing the A2 beta-casein protein type.,Sale of branded products in targeted markets made with milk naturally containing the A2 beta-casein protein type.,https://www.thea2milkcompany.com/,A2M
AURORA LABS LIMITED,"Unit 2, 79 Bushland Ridge, BIBRA LAKE, WA, AUSTRALIA, 6163","Development and supply of 3D metal printers, associated software and
consumable materials.","Development and supply of 3D metal printers, associated software and
consumable materials.",http://www.auroralabs3d.com,A3D
ALPHA HPA LIMITED,"Level 2, 66 Hunter Street, SYDNEY, NSW, AUSTRALIA, 2000",.,.,,A4N
AUSTRALASIAN METALS LIMITED,"Unit 34, Level 5, 123B Colin Street, WEST PERTH, WA, AUSTRALIA, 6005",Mineral exploration,Mineral exploration,https://australasiangold.com/,A8G
AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,"Tower A, Level 1, Gasworks Plaza, 76 Skyring Terrace, NEWSTEAD, QLD, AUSTRALIA, 4006",Agriculture,Agriculture,http://www.aaco.com.au,AAC
ARUMA RESOURCES LIMITED,"Unit 8-9, 88 Forrest Street, COTTESLOE, WA, AUSTRALIA, 6011",Gold Exploration,Gold Exploration,http://www.arumaresources.com,AAJ
AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,"Suite 6, 4 Riseley Street, APPLECROSS, WA, AUSTRALIA, 6153",Australian olive orchard management and bulk seller of olive oil.,Australian olive orchard management and bulk seller of olive oil.,http://www.voopl.com.au,AAP
ASTRAL RESOURCES NL,"Suite 2, 6 Lyall Street, SOUTH PERTH, WA, AUSTRALIA, 6151","Gold and Base Metals (Copper, Lead, Zinc) Exploration and Mining in Australia.","Gold and Base Metals (Copper, Lead, Zinc) Exploration and Mining in Australia.",http://www.anglo.com.au,AAR
ANTILLES GOLD LIMITED,"55 Kirkham Road, BOWRAL, NSW, AUSTRALIA, 2576",Gold producer,Gold producer,https://antillesgold.net/,AAU
AUSWIDE BANK LTD,"Floor 3, 16 - 20 Barolin Street, BUNDABERG, QLD, AUSTRALIA, 4670","Auswide Bank became the tenth Australian owned bank, listed and trading on the ASX, on April 1, 2015.  The company had operated as a building society since 1966. Auswide Bank has an Australian Credit Licence and an Australian Financial Services Licence an","Auswide Bank became the tenth Australian owned bank, listed and trading on the ASX, on April 1, 2015.  The company had operated as a building society since 1966. Auswide Bank has an Australian Credit Licence and an Australian Financial Services Licence an",http://www.auswidebank.com.au,ABA
AUSSIE BROADBAND LIMITED,"3 Electra Avenue, MORWELL, VIC, AUSTRALIA, 3840",Telecommunications services and products provider,Telecommunications services and products provider,http://www.aussiebroadband.com.au,ABB
ADBRI LIMITED,"Level 4, 151 Pirie Street, ADELAIDE, SA, AUSTRALIA, 5000","Manufacture of cement, lime, concrete and aggregates and concrete masonry products","Manufacture of cement, lime, concrete and aggregates and concrete masonry products",http://www.adbri.com.au,ABC
AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED,"L19, 15 Castlereagh St, SYDNEY, NSW, AUSTRALIA, 2000","The provision of financial advice and dealing services in the OTC bond market to funds, ADIs and individuals and advisory services to Australian companies.","The provision of financial advice and dealing services in the OTC bond market to funds, ADIs and individuals and advisory services to Australian companies.",https://www.bondexchange.com.au/,ABE
ABACUS GROUP,"Level 13, 77 Castlereagh Street, SYDNEY, NSW, AUSTRALIA, 2000","Abacus Property Group is a leading diversified property group that specialises in investing in core plus property opportunities across commercial property markets in Australia and New Zealand. 
Abacus' strategy is to invest our capital into core plus pro","Abacus Property Group is a leading diversified property group that specialises in investing in core plus property opportunities across commercial property markets in Australia and New Zealand. 
Abacus' strategy is to invest our capital into core plus pro",http://www.abacusgroup.com.au,ABG
ADVANCED BRAKING TECHNOLOGY LTD,"73 Inspiration Drive, WANGARA, WA, AUSTRALIA, 6065",The development and commercialisation of the Wet Brake technology.,The development and commercialisation of the Wet Brake technology.,http://www.advancedbraking.com,ABV
ABX GROUP LIMITED,"Level 4, 100 Albert Road, SOUTH MELBOURNE, VIC, AUSTRALIA, 3205",Bauxite exploration.,Bauxite exploration.,http://www.abxgroup.com.au,ABX
ADORE BEAUTY GROUP LIMITED,"421 High Street, NORTHCOTE, VIC, AUSTRALIA, 3070",Online cosmetics retailer,Online cosmetics retailer,https://www.adorebeautygroup.com.au/,ABY
AUSCANN GROUP HOLDINGS LTD,"1202 HAY STREET, WEST PERTH, WA, AUSTRALIA, 6005","Cultivation, manufacture and supply of medical cannabis products.","Cultivation, manufacture and supply of medical cannabis products.",http://www.auscann.com.au/,AC8
ACUSENSUS LIMITED.,"Level 6, 31 Queen Street, MELBOURNE, VIC, AUSTRALIA, 3000",Development and sale of traffic enforcement solutions,Development and sale of traffic enforcement solutions,https://www.acusensus.com/,ACE
ACROW LIMITED,"c/- Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",Leading provider of formwork and scaffold hire,Leading provider of formwork and scaffold hire,http://www.acrow.com.au,ACF
AUSTRALIAN CLINICAL LABS LIMITED,"1868-1892 Dandenong Road, CLAYTON, VIC, AUSTRALIA, 3168",Provision of pathology services,Provision of pathology services,https://www.clinicallabs.com.au/,ACL
AUSTRALIAN CRITICAL MINERALS LIMITED,"168 Stirling Highway, NEDLANDS, WA, AUSTRALIA, 6009",Mineral exploration and mining,Mineral exploration and mining,https://auscriticalminerals.com.au/,ACM
AUDALIA RESOURCES LIMITED,"Level 1, Office F, 1139 Hay Street, WEST PERTH, WA, AUSTRALIA, 6005","Vanadium, titanium and iron exploration.","Vanadium, titanium and iron exploration.",http://www.audalia.com.au,ACP
ACORN CAPITAL INVESTMENT FUND LIMITED,"C/- Acorn Capital Limited, Level 4, 2 Russell Street, MELBOURNE, VIC, AUSTRALIA, 3000",Investment in listed and unlisted microcap companies.,Investment in listed and unlisted microcap companies.,https://acqfund.com.au/,ACQ
ACRUX LIMITED,"103-113 Stanley Street, WEST MELBOURNE, VIC, AUSTRALIA, 3003",A pooled development fund that invests in pharmaceutical businesses developing new products involving the delivery of pharmaceuticals via the skin.,A pooled development fund that invests in pharmaceutical businesses developing new products involving the delivery of pharmaceuticals via the skin.,http://www.acrux.com.au,ACR
ACCENT RESOURCES NL,"Level 9, 250 Queen Street, MELBOURNE, VIC, AUSTRALIA, 3000",Gold and iron ore exploration.,Gold and iron ore exploration.,http://www.accentresources.com.au,ACS
ACUMENTIS GROUP LIMITED,"Level 7, 283 Clarence Street, SYDNEY, NSW, AUSTRALIA, 2000",Property valuation and advisory services.,Property valuation and advisory services.,http://www.acumentis.com.au,ACU
ACTINOGEN MEDICAL LIMITED,"Suite 901, Level 9, 109Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000",Development and commercialisation of new therapeutic compounds,Development and commercialisation of new therapeutic compounds,http://www.actinogen.com.au,ACW
AD1 HOLDINGS LIMITED,"Level 4, 90 William Street, MELBOURNE, VIC, AUSTRALIA, 3000",AD1 Holdings Ltd is an ASX-listed technology company focused on creating and investing in market-leading software businesses. Our ambition is to deliver strong shareholder returns via a diversified global portfolio of SaaS (Software as a Service) platform,AD1 Holdings Ltd is an ASX-listed technology company focused on creating and investing in market-leading software businesses. Our ambition is to deliver strong shareholder returns via a diversified global portfolio of SaaS (Software as a Service) platform,http://www.ad1holdings.com.au,AD1
AUDINATE GROUP LIMITED,"Level 7, 64 Kippax Street, SURRY HILLS, NSW, AUSTRALIA, 2010",Provider of professional audio networking technologies globally,Provider of professional audio networking technologies globally,http://www.audinate.com,AD8
ADACEL TECHNOLOGIES LIMITED,"Suite 31, Level 4, 150 Albert Road, SOUTH MELBOURNE, VIC, AUSTRALIA, 3205",Developer of advanced simulation and control systems for aviation and defence,Developer of advanced simulation and control systems for aviation and defence,http://www.adacel.com,ADA
ACDC METALS LTD,"Level 6, 111 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",The Company's main business undertaking is mineral exploration and development and the development of mineral processing technology.,The Company's main business undertaking is mineral exploration and development and the development of mineral processing technology.,https://acdcmetals.com.au/,ADC
ADAVALE RESOURCES LIMITED,"Level 2, 49 Oxford Close,, WEST LEEDERVILLE, WA, AUSTRALIA, 6007",Nickel and Uranium exploration.,Nickel and Uranium exploration.,https://www.adavaleresources.com/,ADD
ADELONG GOLD LIMITED,"C/- DW Accounting & Advisory, Level 4, 91 William Street, MELBOURNE, VIC, AUSTRALIA, 3000","Exploration for copper, zinc, gold and other metals.","Exploration for copper, zinc, gold and other metals.",http://www.3dresources.com.au,ADG
ADAIRS LIMITED,"2 International Court, SCORESBY, VIC, AUSTRALIA, 3179","Omni-channel specialty retailer of home furnishings, home furniture and home decoration products.","Omni-channel specialty retailer of home furnishings, home furniture and home decoration products.",http://www.adairs.com.au,ADH
ANDROMEDA METALS LIMITED,"Level 10, 431 King William Street, ADELAIDE, SA, AUSTRALIA, 5000",Exploration and development of halloysite-kaolin deposits.,Exploration and development of halloysite-kaolin deposits.,http://www.andromet.com.au,ADN
ANTEOTECH LTD,"Unit 4, 26 Brandl Street, Eight Mile Plains, QLD, AUSTRALIA, 4113","Developing and commercialising medical products, energy, and battery material composites","Developing and commercialising medical products, energy, and battery material composites",http://www.anteotech.com,ADO
ADHERIUM LIMITED,"Collins Square, Tower 4, Level 18, 727 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3008",Digital health company that develops and manufactures solutions to monitor and increase patient adherence to prescribed therapies.,Digital health company that develops and manufactures solutions to monitor and increase patient adherence to prescribed therapies.,http://www.adherium.com,ADR
ADSLOT LTD.,"Level 2, 419 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000","Adslot Limited is involved in various online and digital media activities, including the Adslot Publisher Platform which enables online Publishers to automate the sale of their advertising inventory, and the Webfirm division which helps businesses with we","Adslot Limited is involved in various online and digital media activities, including the Adslot Publisher Platform which enables online Publishers to automate the sale of their advertising inventory, and the Webfirm division which helps businesses with we",http://www.adslot.com,ADS
ADRIATIC METALS PLC,"Ground Floor, Regent House, 65 Rodney Street, Cheltenham, GLOUCESTERSHIRE, GL5, UNITED KINGDOM, .",Exploration of mineral resources,Exploration of mineral resources,http://www.adriaticmetals.com,ADT
ARDIDEN LTD,"Level 1, 45 Ventnor Avenue, WEST PERTH, WA, AUSTRALIA, 6005",Mineral Exploration,Mineral Exploration,http://www.ardiden.com.au,ADV
ADX ENERGY LTD,"29 Bay Road, CLAREMONT, WA, AUSTRALIA, 6010","Oil and gas production, appraisal and exploration","Oil and gas production, appraisal and exploration",http://www.adxenergy.com.au,ADX
ADMIRALTY RESOURCES NL.,"Suite 109, Level 1, 150 Pacific Highway, NORTH SYDNEY, NSW, AUSTRALIA, 2060",Exploring for iron ore and executing a  geological exploration program over its 100% owned geological district in Northern Chile.   Farmout exploration for Nickel in Western Australia (Pyke Hill tenement) and lead and Zinc in the Northern Territory (Bulma,Exploring for iron ore and executing a  geological exploration program over its 100% owned geological district in Northern Chile.   Farmout exploration for Nickel in Western Australia (Pyke Hill tenement) and lead and Zinc in the Northern Territory (Bulma,http://www.ady.com.au,ADY
AURA ENERGY LIMITED,"Level 30, 35 Collins St, MELBOURNE, VIC, AUSTRALIA, 3000",Uranium exploration,Uranium exploration,http://www.auraenergy.com.au,AEE
AUSTRALIAN ETHICAL INVESTMENT LIMITED,"Level 12, 680 George Street, SYDNEY, NSW, AUSTRALIA, 2000",Ethical investments that create value for all.,Ethical investments that create value for all.,http://www.australianethical.com.au,AEF
AERIS ENVIRONMENTAL LTD,"Level 1, 5/26-34 Dunning Avenue, ROSEBERY, NSW, AUSTRALIA, 2018",Development and sale of products to eliminate biofilm growth in air conditioning systems and water treatment systems to enhance indoor air quality.,Development and sale of products to eliminate biofilm growth in air conditioning systems and water treatment systems to enhance indoor air quality.,http://www.aeris.com.au,AEI
AEERIS LTD,"Level 8, 210 George Street, SYDNEY, NSW, AUSTRALIA, 2000","Provision of warning alerts and forecasting services to individuals, Small Business, Large Business & Corporations across Australia and Internationally.","Provision of warning alerts and forecasting services to individuals, Small Business, Large Business & Corporations across Australia and Internationally.",http://www.aeeris.com/,AER
AVENIRA LIMITED,"Suite 6, 100 Mill Point Road, SOUTH PERTH, WA, AUSTRALIA, 6151",Base mineral exploration,Base mineral exploration,http://www.avenira.com,AEV
ASF GROUP LIMITED,"Suite 2,  3B Macquarie Street, SYDNEY, NSW, AUSTRALIA, 2000","Diversified investment company with a focus on the real estate, resources, technology and finance sectors.","Diversified investment company with a focus on the real estate, resources, technology and finance sectors.",http://www.asfgroupltd.com,AFA
AUSTRALIAN FINANCE GROUP LTD,"100 Havelock Street, WEST PERTH, WA, AUSTRALIA, 6005",Mortgage broking,Mortgage broking,http://www.afgonline.com.au,AFG
AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,"Level 21, 101 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",Investment in shares.,Investment in shares.,http://www.afi.com.au/,AFI
AF LEGAL GROUP LTD,"C/- Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",A legal practice specialising in family law.,A legal practice specialising in family law.,https://australianfamilylawyers.com.au/,AFL
AFT PHARMACEUTICALS LIMITED,"Level 1, Neilson Building, 129 Hurstmere Road, AUCKLAND, ., NEW ZEALAND, .","AFT is a growing multinational pharmaceutical business with a broad range of products, both developed itself and in-licensed from third parties. AFT's products cover all major pharmaceutical distribution channels: over-the-counter, prescription and hospital.","AFT is a growing multinational pharmaceutical business with a broad range of products, both developed itself and in-licensed from third parties. AFT's products cover all major pharmaceutical distribution channels: over-the-counter, prescription and hospital.",http://www.aftpharm.com,AFP
APPLYFLOW LIMITED,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000","Developing and commercialising a cloud-based workforce management system designed to secure and manage employees for on-site, non-permanent work assignments.","Developing and commercialising a cloud-based workforce management system designed to secure and manage employees for on-site, non-permanent work assignments.",http://www.applyflow.com,AFW
AUSTRALIAN GOLD AND COPPER LTD,"Suite 7, 55 Hampden Road, NEDLANDS, WA, AUSTRALIA, 6009",Gold exploration and development,Gold exploration and development,https://www.austgoldcopper.com.au/,AGC
AUSTRAL GOLD LIMITED,"Automic Group, Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",Exploration and development of gold interests,Exploration and development of gold interests,http://www.australgold.com,AGD
ALLIGATOR ENERGY LIMITED,"Suite 2, 128 Bowen Street, SPRING HILL, QLD, AUSTRALIA, 4000",Uranium and Energy Metal exploration.,Uranium and Energy Metal exploration.,http://www.alligatorenergy.com.au,AGE
ALTHEA GROUP HOLDINGS LIMITED,"Althea Company Pty Ltd, Suite 2, Level 50, 360 Elizabeth Street, MELBOURNE, VIC, AUSTRALIA, 3000","Holding company of Althea Company Limited which holds a number of licenses and permits for the importation, cultivation, production and supply of medicinal cannabis in Australia.","Holding company of Althea Company Limited which holds a number of licenses and permits for the importation, cultivation, production and supply of medicinal cannabis in Australia.",http://www.althea.life,AGH
AINSWORTH GAME TECHNOLOGY LIMITED,"10 Holker Street, NEWINGTON, NSW, AUSTRALIA, 2127","The company is part of the gaming industry.  It designs, develops and manufactures gaming machines, software and related equipment supplies.","The company is part of the gaming industry.  It designs, develops and manufactures gaming machines, software and related equipment supplies.",http://www.agtslots.com,AGI
AGL ENERGY LIMITED.,"Level 24, 200 George Street, SYDNEY, NSW, AUSTRALIA, 2000","Proudly Australian for more than 185 years, AGL supplies around 4.3 million energy and telecommunications customer services and operates Australia's largest private electricity generation portfolio within the National Electricity Market.","Proudly Australian for more than 185 years, AGL supplies around 4.3 million energy and telecommunications customer services and operates Australia's largest private electricity generation portfolio within the National Electricity Market.",http://www.agl.com.au,AGL
ARGENICA THERAPEUTICS LIMITED,"4 / 117 Broadway, NEDLANDS, WA, AUSTRALIA, 6009",Development and commercialisation of a novel therapeutic,Development and commercialisation of a novel therapeutic,https://argenica.com.au/,AGN
AGUIA RESOURCES LIMITED,"Level 12, 680 George Street, SYDNEY, NSW, AUSTRALIA, 2000","Exploration, Development and Investment in the resources sector","Exploration, Development and Investment in the resources sector",http://www.aguiaresources.com.au/,AGR
ARGOSY MINERALS LIMITED,"Level 2, 22 Mount Street, PERTH, WA, AUSTRALIA, 6000",Mining Exploration,Mining Exploration,http://www.argosyminerals.com.au,AGY
AUSTCO HEALTHCARE LIMITED,"Unit 1, 31 Sabre Drive, PORT MELBOURNE, VIC, AUSTRALIA, 3207","Manufacture, service, supply and distribution of Healthcare and communications equipment.","Manufacture, service, supply and distribution of Healthcare and communications equipment.",http://www.austcohealthcare.com,AHC
AUSTRALIAN DAIRY NUTRITIONALS LIMITED,"325 Manifold Street, CAMPERDOWN, VIC, AUSTRALIA, 3260",Vertically integrated dairy farm operator and manufacturer of  premium powdered dairy products,Vertically integrated dairy farm operator and manufacturer of  premium powdered dairy products,http://www.adnl.com.au,AHF
ADVANCED HEALTH INTELLIGENCE LTD,"Unit 5, 71-73 South Perth Esplanade, SOUTH PERTH, WA, AUSTRALIA, 6151","Smartphone-based human scanning technology, with a diverse range of data-driven applications in Fitness, mHealth, Life & Health Insurance, and Apparel.","Smartphone-based human scanning technology, with a diverse range of data-driven applications in Fitness, mHealth, Life & Health Insurance, and Apparel.",http://www.advancedhumanimaging.com,AHI
ARK MINES LIMITED,"Level 9, 19-29 Martin Place, SYDNEY, NSW, AUSTRALIA, 2000",Mining exploration activities,Mining exploration activities,http://www.arkmines.com.au,AHK
ADRAD HOLDINGS LIMITED,"26 Howards Road, BEVERLEY, SA, AUSTRALIA, 5009","Design and manufacture of innovative heat transfer solutions for OE customers globally and the manufacture, importation and distribution of automotive parts for the aftermarket in Australia and New Zealand.","Design and manufacture of innovative heat transfer solutions for OE customers globally and the manufacture, importation and distribution of automotive parts for the aftermarket in Australia and New Zealand.",https://adradholdings.com.au/,AHL
ATHENA RESOURCES LIMITED,"21 Millstream Rise, HILLARYS, WA, AUSTRALIA, 6025","Iron Ore, Gold, Nickel and Copper exploration.","Iron Ore, Gold, Nickel and Copper exploration.",http://www.athenaresources.com.au,AHN
APIAM ANIMAL HEALTH LIMITED,"27 - 33 Piper Lane, EAST BENDIGO, VIC, AUSTRALIA, 3550",Heath care equipment and services,Heath care equipment and services,http://www.apiam.com.au,AHX
ADISYN LTD,"C- Onyx Corporate, Suite 7, 63 Shepperton Road, VICTORIA PARK, WA, AUSTRALIA, 6100","The Company provides data center and cloud hosted services, data center hosting and colocation, data center and cloud automation software and modular data center and hosting solutions in Perth, Darwin and regional locations in Australia.","The Company provides data center and cloud hosted services, data center hosting and colocation, data center and cloud automation software and modular data center and hosting solutions in Perth, Darwin and regional locations in Australia.",https://dctwo.com.au/,AI1
AUCKLAND INTERNATIONAL AIRPORT LIMITED,"PO Box 73020, Auckland Airport, Auckland 2150, AUCKLAND, ., NEW ZEALAND, 2150",Airport operations,Airport operations,http://www.aucklandairport.co.nz/,AIA
ALMONTY INDUSTRIES INC.,"100 King Street West, Suite 5700, TORONTO, ON, CANADA, M5X 1C7",Mining and exploration.,Mining and exploration.,https://almonty.com/,AII
AI-MEDIA TECHNOLOGIES LIMITED,"Level 6, 277 William Street, MELBOURNE, VIC, AUSTRALIA, 3000","Global provider of live and recorded captioning, transcription, subtitles, translation and speech analytics using a proprietary, cloud-based technology platform.","Global provider of live and recorded captioning, transcription, subtitles, translation and speech analytics using a proprietary, cloud-based technology platform.",http://www.ai-media.tv,AIM
ALTERNATIVE INVESTMENT TRUST,"Level 16, Governor Macquarie Tower, 1 Farrer Place, SYDNEY, NSW, AUSTRALIA, 2000",The Alternative Investment Trust has investments in a portfolio of international absolute return funds. The objective of the investment portfolio is to provide absolute returns over the long term and in all market conditions.,The Alternative Investment Trust has investments in a portfolio of international absolute return funds. The objective of the investment portfolio is to provide absolute returns over the long term and in all market conditions.,http://www.thealternativeinvestmenttrust.com,AIQ
AERIS RESOURCES LIMITED,"Level 6, 120 Edward Street, BRISBANE, QLD, AUSTRALIA, 4000",Diversified mining and exploration company producing copper and gold.,Diversified mining and exploration company producing copper and gold.,http://www.aerisresources.com.au/,AIS
ACTIVEX LIMITED,"Suite 2, 3B Macquarie Street, SYDNEY, NSW, AUSTRALIA, 2000",Exploration of gold and copper deposits,Exploration of gold and copper deposits,http://www.activex.com.au,AIV
AIR NEW ZEALAND LIMITED,"185 Fanshawe Street, AUCKLAND, ., NEW ZEALAND, 1010","Transportation of passengers and cargo on scheduled airline services within, to or from New Zealand.","Transportation of passengers and cargo on scheduled airline services within, to or from New Zealand.",http://www.airnz.co.nz,AIZ
