Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,145384,345611338,.04206575
5EADVANCED CDI 10:1,5EA,445000,304583680,.14610106
29METALSLIMITED ORDINARY,29M,20774878,701259581,2.96250897
88 ENERGY LTD ORDINARY,88E,12934645,22118655043,.05847844
92ENERGY ORDINARY,92E,356299,106375102,.33494586
A2B AUSTRALIA LTD ORDINARY,A2B,569189,121230683,.46950903
ABACUS GROUP FPO/UNITS STAPLED,ABG,1107844,893657633,.12396739
ABACUS STORAGE KING FPO/UNITS STAPLED,ASK,63917,1314102962,.00486393
ACCENT GROUP LTD ORDINARY,AX1,3957221,563053196,.70281477
ACROW FORMWORK ORDINARY,ACF,2034411,268521489,.75763434
ACTINOGEN MEDICAL ORDINARY,ACW,281163,2216310088,.01268609
ADAIRS LIMITED ORDINARY,ADH,5320039,173050982,3.07426109
ADBRI LIMITED ORDINARY,ABC,11127551,653329543,1.70320646
ADORE BEAUTY ORDINARY,ABY,2006222,93907372,2.13638393
ADRIATIC METALS CDI 1:1,ADT,747343,239048338,.31263259
ADVANCED HEALTH ORDINARY,AHI,44608,217703969,.02049021
AERIS RESOURCES LTD ORDINARY,AIS,11567278,690945595,1.67412284
AGL ENERGY LIMITED. ORDINARY,AGL,16956980,672747233,2.52055738
AIC MINES LTD ORDINARY,A1M,63581,462470632,.01374812
AIRTASKER LIMITED ORDINARY,ART,183078,451643239,.04053598
ALCIDION GROUP LTD ORDINARY,ALC,1792587,1270433279,.14110044
ALKANE RESOURCES LTD ORDINARY,ALK,27385,602663089,.004544
ALLIANCE AVIATION ORDINARY,AQZ,7598,160734697,.00472704
ALLIGATOR ENERGY ORDINARY,AGE,42713567,3799616857,1.12415458
ALLKEM LIMITED ORDINARY,AKE,7182983,639321293,1.12353258
ALPHA HPA LTD ORDINARY,A4N,14140277,879004569,1.60866934
ALS LTD ORDINARY,ALQ,1300262,484167684,.26855613
ALTECH BATT LTD ORDINARY,ATC,2199228,1646183030,.13359559
ALTERITY THERAP LTD ORDINARY,ATH,136899,2439897618,.00561085
ALTHEA GROUP ORDINARY,AGH,1678,396043952,.00042369
ALTIUM LIMITED ORDINARY,ALU,405002,131926838,.30698985
ALUMINA LIMITED ORDINARY,AWC,114952331,2901681417,3.96157656
AMA GROUP LIMITED ORDINARY,AMA,22558976,1772299095,1.27286506
AMCOR PLC CDI1:1FOREXEMPT NYSE,AMC,11431765,641567279,1.78184976
AMERICAN RARE EARTHS ORDINARY,ARR,1040345,446423299,.23304003
AMP LIMITED ORDINARY,AMP,52940442,2767779102,1.91274087
AMPOL LIMITED ORDINARY,ALD,2508635,238302099,1.05271209
ANDROMEDA METALS LTD ORDINARY,ADN,56047410,3110008432,1.80216264
ANSARADA GROUP LTD ORDINARY,AND,330,89335568,.00036939
ANSELL LIMITED ORDINARY,ANN,2674310,125771856,2.12631831
ANSON RESOURCES LTD ORDINARY,ASN,17205095,1285739169,1.33814816
ANTERIS TECHNOLOGIES ORDINARY,AVR,13200,15605999,.08458286
ANZ GROUP HOLDINGS ORDINARY,ANZ,13737502,3005286886,.45711117
APA GROUP UNITS STAPLED,APA,6553018,1282957939,.51077419
APM HUMAN SERVICES ORDINARY,APM,17346258,917181946,1.89125594
APPEN LIMITED ORDINARY,APX,13128803,156921599,8.36647287
ARAFURA RARE EARTHS ORDINARY,ARU,143926434,2113364692,6.81029803
ARB CORPORATION. ORDINARY,ARB,4191074,82099299,5.10488403
ARCHER MATERIALS ORDINARY,AXE,286656,254847013,.1124816
ARDENTLEISUREGRPLTD ORDINARY,ALG,3278728,479706016,.68348695
ARENA REIT. FPO/UNITS STAPLED,ARF,1444626,352551902,.40976265
ARGENT MINERALS ORDINARY,ARD,145264,1178981223,.01232115
ARGOSY MINERALS LTD ORDINARY,AGY,71573506,1404407498,5.09634889
ARISTOCRAT LEISURE ORDINARY,ALL,2149987,648560092,.33150159
ARIZONA LITHIUM LTD ORDINARY,AZL,4286633,3194689678,.13417995
ARN MEDIA LIMITED ORDINARY,A1N,3966399,305540260,1.2981592
AROA BIOSURGERY ORDINARY,ARX,1602611,343441402,.46663302
ASTON MINERALS LTD ORDINARY,ASO,1302190,1275480936,.10209404
ASX LIMITED ORDINARY,ASX,3792857,193595162,1.95916931
ATLAS ARTERIA FPOSTUSPROHEXCLQUP,ALX,14984624,1450833707,1.0328285
ATOMOS ORDINARY,AMS,3894204,401821079,.9691388
AU CLINICAL LABS ORDINARY,ACL,14294937,201834015,7.08252125
AUB GROUP LTD ORDINARY,AUB,377678,108405620,.34839338
AUCKLAND INTERNATION ORD FOR.EXEMPT NZX,AIA,2369624,1472551137,.16091964
AUDINATEGROUPLTD ORDINARY,AD8,56822,83108836,.06837059
AURA ENERGY ORDINARY,AEE,1547051,576596044,.2683076
AURELIA METALS LTD ORDINARY,AMI,9970088,1685243207,.59161123
AURIZON HOLDINGS LTD ORDINARY,AZJ,44806291,1840703982,2.43419319
AUSGOV TREASURY BOND TB 0.25% 11-25 6M,GSBU25,82130,392000000,.02095153
AUSGOV TREASURY BOND TB 1.00% 11-31 6M,GSBU31,170300,418000000,.04074163
AUSGOV TREASURY BOND TB 1.25% 05-32 6M,GSBI32,61870,393000000,.015743
AUSGOV TREASURY BOND TB 1.50% 06-31 6M,GSBK31,58250,381000000,.01528871
AUSGOV TREASURY BOND TB 1.75% 06-51 6M,GSBK51,66190,196000000,.03377041
AUSGOV TREASURY BOND TB 1.75% 11-32 6M,GSBU32,103480,290000000,.03568276
AUSGOV TREASURY BOND TB 2.25% 05-28 6M,GSBI28,19350,317000000,.0061041
AUSGOV TREASURY BOND TB 2.75% 05-41 6M,GSBI41,98310,143000000,.06874825
AUSGOV TREASURY BOND TB 2.75% 06-35 6M,GSBK35,260360,138500000,.18798556
AUSGOV TREASURY BOND TB 2.75% 11-27 6M,GSBU27,130640,314000000,.0416051
AUSGOV TREASURY BOND TB 2.75% 11-28 6M,GSBU28,141570,348000000,.04068103
AUSGOV TREASURY BOND TB 2.75% 11-29 6M,GSBU29,99490,347000000,.02867147
AUSGOV TREASURY BOND TB 3.00% 11-33 6M,GSBU33,100000,225000000,.04444444
AUSGOV TREASURY BOND TB 3.25% 06-39 6M,GSBK39,41280,103000000,.04007767
AUSGOV TREASURY BOND TB 3.50% 12-34 6M,GSBW34,31870,170000000,.01874706
AUSGOV TREASURY BOND TB 3.75% 04-37 6M,GSBG37,90400,123000000,.07349593
AUSGOV TREASURY BOND TB 3.75% 05-34 6M,GSBI34,187670,188000000,.09982447
AUSPACCOAL LTD ORDINARY,AQC,6378,456023144,.00139861
AUSSIE BROADBAND ORDINARY,ABB,5989253,239209360,2.50377034
AUSSTRATMATERIALS ORDINARY,ASM,5532812,166775236,3.31752611
AUST FINANCE GRP ORDINARY,AFG,6354102,270769045,2.34668701
AUST VANADIUM LTD ORDINARY,AVL,23400202,4968606780,.47096104
AUST VINTAGE LTD ORDINARY,AVG,103667,252638486,.04103373
AUSTAL LIMITED ORDINARY,ASB,3205900,362441875,.88452804
AUSTIN ENGINEERING ORDINARY,ANG,647081,586401879,.1103477
AUSTRALIAN AGRICULT. ORDINARY,AAC,1310133,602766747,.21735323
